data,psy,img
negative-deactive,neutral,frame_000017.PNG
negative-deactive,neutral,frame_000018.PNG
negative-deactive,neutral,frame_000019.PNG
negative-deactive,neutral,frame_000024.PNG
negative-deactive,neutral,frame_000025.PNG
negative-deactive,neutral,frame_000026.PNG
negative-deactive,neutral,frame_000027.PNG
negative-deactive,neutral,frame_000028.PNG
negative-deactive,neutral,frame_000029.PNG
negative-deactive,neutral,frame_000036.PNG
negative-deactive,neutral,frame_000037.PNG
negative-deactive,neutral,frame_000038.PNG
negative-deactive,neutral,frame_000039.PNG
negative-deactive,neutral,frame_000040.PNG
negative-deactive,neutral,frame_000041.PNG
negative-deactive,neutral,frame_000042.PNG
negative-deactive,neutral,frame_000043.PNG
negative-deactive,neutral,frame_000044.PNG
negative-deactive,neutral,frame_000045.PNG
negative-deactive,neutral,frame_000046.PNG
negative-deactive,neutral,frame_000047.PNG
negative-deactive,neutral,frame_000048.PNG
negative-deactive,neutral,frame_000049.PNG
negative-deactive,neutral,frame_000050.PNG
negative-deactive,neutral,frame_000051.PNG
negative-deactive,neutral,frame_000057.PNG
negative-deactive,neutral,frame_000058.PNG
negative-deactive,neutral,frame_000059.PNG
negative-deactive,negative-deactive,frame_000064.PNG
negative-deactive,negative-deactive,frame_000065.PNG
negative-deactive,negative-deactive,frame_000066.PNG
negative-deactive,negative-deactive,frame_000067.PNG
negative-deactive,negative-deactive,frame_000068.PNG
negative-deactive,negative-deactive,frame_000069.PNG
negative-deactive,negative-deactive,frame_000070.PNG
negative-deactive,neutral,frame_000081.PNG
negative-deactive,neutral,frame_000082.PNG
negative-deactive,neutral,frame_000083.PNG
negative-deactive,neutral,frame_000084.PNG
negative-deactive,neutral,frame_000085.PNG
negative-deactive,negative-deactive,frame_000089.PNG
negative-deactive,negative-deactive,frame_000090.PNG
negative-deactive,negative-deactive,frame_000091.PNG
negative-deactive,negative-deactive,frame_000092.PNG
negative-deactive,negative-deactive,frame_000093.PNG
negative-deactive,negative-deactive,frame_000094.PNG
negative-deactive,neutral,frame_000100.PNG
negative-deactive,neutral,frame_000101.PNG
negative-deactive,neutral,frame_000102.PNG
negative-deactive,neutral,frame_000103.PNG
negative-deactive,neutral,frame_000104.PNG
negative-deactive,neutral,frame_000105.PNG
negative-deactive,neutral,frame_000106.PNG
negative-deactive,neutral,frame_000107.PNG
positive-deactive,neutral,frame_000112.PNG
positive-deactive,neutral,frame_000113.PNG
positive-deactive,neutral,frame_000114.PNG
positive-deactive,neutral,frame_000115.PNG
positive-deactive,neutral,frame_000116.PNG
positive-deactive,neutral,frame_000117.PNG
positive-deactive,neutral,frame_000118.PNG
positive-deactive,neutral,frame_000119.PNG
positive-deactive,neutral,frame_000120.PNG
positive-deactive,neutral,frame_000121.PNG
positive-deactive,neutral,frame_000122.PNG
positive-deactive,neutral,frame_000123.PNG
positive-deactive,neutral,frame_000124.PNG
positive-deactive,neutral,frame_000125.PNG
positive-deactive,neutral,frame_000126.PNG
positive-deactive,neutral,frame_000127.PNG
positive-deactive,neutral,frame_000128.PNG
positive-deactive,neutral,frame_000129.PNG
positive-deactive,neutral,frame_000130.PNG
positive-deactive,neutral,frame_000131.PNG
positive-deactive,neutral,frame_000132.PNG
positive-deactive,neutral,frame_000133.PNG
positive-deactive,neutral,frame_000134.PNG
positive-deactive,neutral,frame_000135.PNG
positive-deactive,neutral,frame_000136.PNG
negative-deactive,neutral,frame_000143.PNG
negative-deactive,neutral,frame_000144.PNG
negative-deactive,neutral,frame_000145.PNG
negative-deactive,neutral,frame_000146.PNG
negative-deactive,neutral,frame_000147.PNG
negative-deactive,neutral,frame_000148.PNG
negative-deactive,neutral,frame_000149.PNG
negative-deactive,neutral,frame_000150.PNG
negative-deactive,neutral,frame_000151.PNG
negative-deactive,neutral,frame_000152.PNG
negative-deactive,neutral,frame_000153.PNG
negative-deactive,neutral,frame_000154.PNG
negative-deactive,neutral,frame_000155.PNG
negative-deactive,neutral,frame_000156.PNG
negative-deactive,neutral,frame_000157.PNG
negative-deactive,neutral,frame_000158.PNG
negative-deactive,neutral,frame_000159.PNG
negative-deactive,neutral,frame_000160.PNG
negative-deactive,neutral,frame_000161.PNG
negative-deactive,neutral,frame_000162.PNG
negative-deactive,neutral,frame_000163.PNG
negative-deactive,neutral,frame_000164.PNG
negative-deactive,neutral,frame_000165.PNG
negative-deactive,neutral,frame_000166.PNG
negative-deactive,neutral,frame_000167.PNG
negative-deactive,neutral,frame_000176.PNG
negative-deactive,neutral,frame_000177.PNG
negative-deactive,neutral,frame_000178.PNG
negative-deactive,neutral,frame_000179.PNG
negative-deactive,neutral,frame_000180.PNG
negative-deactive,neutral,frame_000181.PNG
positive-deactive,neutral,frame_000182.PNG
positive-deactive,neutral,frame_000183.PNG
positive-deactive,neutral,frame_000184.PNG
positive-deactive,neutral,frame_000185.PNG
positive-deactive,neutral,frame_000186.PNG
positive-deactive,neutral,frame_000187.PNG
positive-deactive,neutral,frame_000188.PNG
positive-deactive,neutral,frame_000189.PNG
positive-deactive,neutral,frame_000190.PNG
positive-deactive,neutral,frame_000191.PNG
positive-deactive,neutral,frame_000192.PNG
positive-deactive,neutral,frame_000193.PNG
positive-deactive,neutral,frame_000194.PNG
positive-deactive,neutral,frame_000195.PNG
positive-deactive,neutral,frame_000196.PNG
positive-deactive,neutral,frame_000197.PNG
positive-deactive,neutral,frame_000198.PNG
positive-deactive,neutral,frame_000199.PNG
positive-deactive,neutral,frame_000200.PNG
positive-deactive,neutral,frame_000201.PNG
positive-deactive,neutral,frame_000202.PNG
positive-deactive,neutral,frame_000203.PNG
positive-deactive,neutral,frame_000204.PNG
positive-deactive,neutral,frame_000205.PNG
positive-deactive,neutral,frame_000206.PNG
positive-deactive,neutral,frame_000207.PNG
positive-deactive,neutral,frame_000208.PNG
positive-deactive,neutral,frame_000209.PNG
positive-deactive,neutral,frame_000210.PNG
positive-deactive,neutral,frame_000211.PNG
positive-deactive,neutral,frame_000212.PNG
positive-deactive,neutral,frame_000213.PNG
positive-deactive,neutral,frame_000214.PNG
positive-deactive,neutral,frame_000215.PNG
positive-deactive,neutral,frame_000216.PNG
positive-deactive,neutral,frame_000217.PNG
positive-deactive,neutral,frame_000218.PNG
positive-deactive,neutral,frame_000219.PNG
positive-deactive,neutral,frame_000220.PNG
positive-deactive,negative-deactive,frame_000221.PNG
positive-deactive,neutral,frame_000231.PNG
positive-deactive,neutral,frame_000232.PNG
positive-deactive,neutral,frame_000233.PNG
positive-deactive,neutral,frame_000234.PNG
positive-deactive,neutral,frame_000235.PNG
positive-deactive,neutral,frame_000236.PNG
positive-deactive,neutral,frame_000237.PNG
positive-deactive,neutral,frame_000238.PNG
positive-deactive,neutral,frame_000239.PNG
positive-deactive,neutral,frame_000240.PNG
positive-deactive,neutral,frame_000241.PNG
positive-deactive,neutral,frame_000242.PNG
negative-active,neutral,frame_000243.PNG
negative-active,neutral,frame_000244.PNG
negative-active,neutral,frame_000245.PNG
negative-active,neutral,frame_000246.PNG
negative-active,neutral,frame_000247.PNG
negative-active,neutral,frame_000248.PNG
negative-active,neutral,frame_000249.PNG
negative-active,neutral,frame_000250.PNG
negative-active,negative-deactive,frame_000256.PNG
negative-active,negative-deactive,frame_000257.PNG
negative-active,negative-deactive,frame_000258.PNG
negative-active,negative-deactive,frame_000259.PNG
negative-active,negative-deactive,frame_000260.PNG
negative-active,negative-deactive,frame_000261.PNG
negative-active,negative-deactive,frame_000262.PNG
negative-active,negative-deactive,frame_000263.PNG
negative-active,negative-deactive,frame_000264.PNG
negative-active,negative-deactive,frame_000265.PNG
negative-active,negative-deactive,frame_000266.PNG
negative-active,negative-deactive,frame_000267.PNG
negative-active,negative-deactive,frame_000268.PNG
negative-active,negative-deactive,frame_000269.PNG
negative-active,negative-deactive,frame_000270.PNG
negative-active,negative-deactive,frame_000271.PNG
negative-active,negative-deactive,frame_000272.PNG
negative-active,negative-deactive,frame_000273.PNG
negative-active,negative-deactive,frame_000279.PNG
negative-active,negative-deactive,frame_000280.PNG
negative-active,neutral,frame_000281.PNG
negative-active,neutral,frame_000282.PNG
negative-active,neutral,frame_000283.PNG
negative-active,neutral,frame_000284.PNG
negative-active,neutral,frame_000285.PNG
negative-active,neutral,frame_000286.PNG
negative-active,negative-deactive,frame_000287.PNG
negative-active,negative-deactive,frame_000288.PNG
negative-active,negative-deactive,frame_000289.PNG
negative-active,negative-deactive,frame_000290.PNG
negative-active,negative-deactive,frame_000291.PNG
negative-active,negative-deactive,frame_000292.PNG
negative-active,neutral,frame_000293.PNG
negative-active,neutral,frame_000294.PNG
negative-active,neutral,frame_000295.PNG
negative-active,neutral,frame_000296.PNG
negative-active,neutral,frame_000297.PNG
negative-active,neutral,frame_000298.PNG
negative-active,negative-deactive,frame_000299.PNG
negative-active,negative-deactive,frame_000300.PNG
negative-active,negative-deactive,frame_000301.PNG
negative-active,negative-deactive,frame_000302.PNG
negative-active,negative-deactive,frame_000303.PNG
negative-active,negative-deactive,frame_000304.PNG
negative-active,negative-deactive,frame_000305.PNG
negative-active,negative-deactive,frame_000306.PNG
negative-active,negative-deactive,frame_000307.PNG
negative-active,negative-deactive,frame_000308.PNG
negative-active,negative-deactive,frame_000309.PNG
negative-active,negative-deactive,frame_000310.PNG
negative-active,neutral,frame_000320.PNG
negative-active,neutral,frame_000321.PNG
negative-active,neutral,frame_000322.PNG
negative-active,neutral,frame_000323.PNG
negative-active,neutral,frame_000324.PNG
negative-active,neutral,frame_000325.PNG
negative-active,neutral,frame_000326.PNG
negative-active,neutral,frame_000327.PNG
negative-active,neutral,frame_000328.PNG
negative-active,neutral,frame_000329.PNG
negative-active,neutral,frame_000330.PNG
negative-active,neutral,frame_000331.PNG
negative-active,neutral,frame_000332.PNG
negative-active,neutral,frame_000333.PNG
negative-active,neutral,frame_000334.PNG
negative-active,neutral,frame_000335.PNG
negative-active,neutral,frame_000336.PNG
negative-active,neutral,frame_000337.PNG
negative-active,neutral,frame_000338.PNG
negative-active,neutral,frame_000339.PNG
negative-active,neutral,frame_000340.PNG
negative-active,neutral,frame_000341.PNG
negative-active,neutral,frame_000342.PNG
negative-active,neutral,frame_000343.PNG
positive-active,neutral,frame_000357.PNG
positive-active,neutral,frame_000358.PNG
positive-active,neutral,frame_000359.PNG
positive-active,neutral,frame_000360.PNG
positive-active,neutral,frame_000361.PNG
positive-active,neutral,frame_000362.PNG
positive-active,neutral,frame_000363.PNG
positive-active,neutral,frame_000364.PNG
positive-active,neutral,frame_000365.PNG
positive-active,neutral,frame_000366.PNG
positive-active,neutral,frame_000367.PNG
positive-active,neutral,frame_000368.PNG
