video,time_start,time_end,label
face9_5,0.05,0.09,neutral
face9_5,1.58,1.59,stress
face9_5,2,2.01,neutral
face9_5,2.02,2.03,relax
face9_5,2.04,2.05,relax
face9_5,2.06,2.08,relax
face9_5,2.09,2.11,neutral
face9_5,2.12,2.17,relax
face9_5,2.58,2.59,relax
face9_5,3.04,3.08,happy
face9_5,3.12,3.16,relax
face9_5,3.03,3.31,relax
face9_5,3.32,3.34,relax
face9_5,3.39,3.42,neutral
face9_5,3.46,3.47,happy
face9_5,3.48,3.49,relax
face9_5,3.51,4.25,stress
face9_5,4.29,4.33,relax
face9_5,4.34,4.38,relax
face9_5,4.39,4.44,happy
face9_5,5.07,5.09,happy
face9_5,5.39,5.41,stress
