video,time_start,time_end,label
face5_02,18.24,18.26,neutral
face5_02,18.34,18.37,happy
face5_02,18.47,19.02,happy
face5_02,19.03,19.08,neutral
face5_02,19.09,19.12,stress
face5_02,19.13,19.23,neutral
face5_02,19.26,19.28,neutral
face5_02,19.29,19.31,stress
face5_02,19.31,19.36,stress
face5_02,19.37,19.39,happy
face5_02,20.04,20.12,happy
face5_02,20.14,20.17,happy
face5_02,20.21,20.27,happy
face5_02,20.28,20.32,neutral
face5_02,20.33,20.37,stress
face5_02,20.38,20.41,neutral
face5_02,20.42,20.47,stress
face5_02,20.48,20.52,happy
face5_02,20.53,20.56,happy
face5_02,20.58,21.08,happy
face5_02,21.11,21.12,happy
face5_02,21.05,22.11,happy
face5_02,22.12,22.15,happy
face5_02,22.26,22.33,relax
face5_02,22.36,22.41,happy
face5_02,22.43,22.45,happy
face5_02,22.55,22.56,happy
face5_02,23.45,23.47,relax
face5_02,23.49,23.51,relax
face5_02,23.5,23.51,relax
face5_02,23.52,23.58,happy
face5_02,24.01,24.04,happy
face5_02,24.05,24.07,neutral
face5_02,24.08,24.14,neutral
face5_02,24.15,24.17,relax
face5_02,24.24,24.35,relax
face5_02,24.37,24.42,stress
face5_02,24.43,24.57,stress
face5_02,25.28,25.33,stress
face5_02,25.36,25.39,stress
face5_02,25.39,25.47,relax
face5_02,25.48,25.49,stress
face5_02,25.05,25.52,happy
face5_02,25.53,26.03,happy
face5_02,26.14,26.21,angry
face5_02,26.22,26.28,happy
face5_02,26.29,26.37,happy
face5_02,26.38,26.42,neutral
face5_02,26.43,26.53,neutral
face5_02,26.54,27.04,stress
face5_02,27.06,27.07,happy
face5_02,27.48,27.51,stress
face5_02,28.34,28.35,relax
face5_02,28.04,28.43,happy
face5_02,29.01,29.02,neutral
face5_02,29.04,29.05,neutral
face5_02,29.06,29.22,neutral
face5_02,29.34,29.35,neutral
face5_02,29.38,29.44,relax
face5_02,29.46,29.51,neutral
face5_02,30.18,30.22,happy
face5_02,30.23,30.25,happy
face5_02,30.26,30.35,relax
face5_02,30.36,30.46,happy
face5_02,30.47,30.48,neutral
face5_02,30.49,30.55,neutral
face5_02,30.55,30.58,neutral
face5_02,31,31.05,neutral
face5_02,31.08,31.09,happy
face5_02,31.01,31.15,happy
face5_02,31.16,31.23,happy
face5_02,31.33,31.34,stress
