video,time_start,time_end,label
face5_01,0.01,0.15,happy
face5_01,0.16,0.19,relax
face5_01,0.02,0.29,happy
face5_01,0.03,0.45,relax
face5_01,0.46,0.48,relax
face5_01,0.49,1.22,relax
face5_01,1.23,1.26,relax
face5_01,1.27,1.33,happy
face5_01,1.34,1.38,relax
face5_01,1.39,1.41,relax
face5_01,1.41,1.44,happy
face5_01,1.45,1.48,relax
face5_01,1.49,1.56,stress
face5_01,1.57,1.58,happy
face5_01,2,2.03,stress
face5_01,2.04,2.05,relax
face5_01,2.06,2.07,relax
face5_01,2.08,2.15,relax
face5_01,2.16,2.24,stress
face5_01,2.25,2.31,happy
face5_01,2.31,2.36,relax
face5_01,2.37,2.41,sad
face5_01,2.42,2.46,neutral
face5_01,2.47,2.49,stress
face5_01,2.05,2.51,happy
face5_01,2.51,2.59,sad
face5_01,3,3.04,neutral
face5_01,3.09,3.16,happy
face5_01,3.17,3.18,neutral
face5_01,3.18,3.19,happy
face5_01,3.02,3.26,neutral
face5_01,3.27,3.28,happy
face5_01,3.28,3.35,sad
face5_01,3.36,3.41,stress
face5_01,3.42,3.45,stress
face5_01,3.46,3.49,stress
face5_01,3.54,3.59,relax
face5_01,4,4.01,angry
face5_01,4.01,4.13,stress
face5_01,4.14,4.23,sad
face5_01,4.24,4.25,stress
face5_01,4.25,4.26,angry
face5_01,4.27,4.29,stress
face5_01,4.03,4.32,neutral
face5_01,4.33,4.35,neutral
face5_01,4.36,4.41,relax
face5_01,4.42,4.47,neutral
face5_01,4.48,4.51,happy
face5_01,4.52,4.55,neutral
face5_01,4.56,4.58,relax
face5_01,4.59,5.02,neutral
face5_01,5.06,5.07,neutral
face5_01,5.01,5.11,stress
face5_01,5.11,5.15,neutral
face5_01,5.16,5.17,neutral
face5_01,5.17,5.19,stress
face5_01,5.02,5.26,stress
face5_01,5.27,5.29,stress
face5_01,5.35,5.36,stress
face5_01,5.36,5.37,stress
face5_01,5.38,5.41,stress
face5_01,5.41,5.42,stress
face5_01,5.42,5.49,stress
face5_01,5.05,6.01,stress
face5_01,6.04,6.32,angry
face5_01,6.33,6.34,relax
face5_01,6.35,6.36,angry
face5_01,6.36,6.53,angry
face5_01,6.54,7.12,happy
face5_01,7.13,7.21,neutral
face5_01,7.35,7.37,sad
face5_01,7.38,7.39,stress
face5_01,7.41,7.42,stress
face5_01,7.43,7.45,relax
face5_01,7.54,7.56,stress
face5_01,7.57,7.58,neutral
face5_01,7.59,8,neutral
face5_01,8.06,8.09,neutral
face5_01,8.01,8.11,neutral
face5_01,8.12,8.19,neutral
face5_01,8.02,8.23,stress
face5_01,8.24,8.25,stress
face5_01,8.29,8.32,stress
face5_01,8.36,8.38,angry
face5_01,8.39,8.42,neutral
face5_01,8.43,8.44,stress
face5_01,8.45,8.46,sad
face5_01,8.47,8.51,stress
face5_01,8.52,8.58,relax
face5_01,8.59,9.01,stress
face5_01,9.02,9.09,neutral
face5_01,9.01,9.16,relax
face5_01,9.17,9.31,stress
face5_01,9.32,9.39,neutral
face5_01,9.42,9.43,stress
face5_01,9.44,9.48,stress
face5_01,9.49,9.51,neutral
face5_01,9.52,9.56,relax
face5_01,9.57,10.07,stress
face5_01,10.08,10.11,relax
face5_01,10.11,10.13,stress
face5_01,10.14,10.21,stress
face5_01,10.22,10.23,stress
face5_01,10.24,10.25,neutral
face5_01,10.25,10.26,stress
face5_01,10.27,10.28,stress
face5_01,10.29,10.43,neutral
face5_01,10.44,10.45,angry
face5_01,10.45,10.48,neutral
face5_01,10.05,10.52,stress
face5_01,10.53,10.55,neutral
face5_01,10.56,10.57,stress
face5_01,10.57,11.01,neutral
face5_01,11.02,11.13,happy
face5_01,11.14,11.23,stress
face5_01,11.24,11.36,happy
face5_01,11.38,11.39,relax
face5_01,11.04,11.44,neutral
face5_01,11.45,11.46,relax
face5_01,11.47,11.51,angry
face5_01,11.51,12,neutral
face5_01,12.01,12.01,happy
face5_01,12.11,12.13,stress
face5_01,12.14,12.34,neutral
face5_01,12.35,12.36,neutral
face5_01,12.36,12.51,stress
face5_01,12.51,12.53,stress
face5_01,12.54,13,stress
face5_01,13.01,13.07,angry
face5_01,13.01,13.14,angry
face5_01,13.18,13.19,angry
face5_01,13.19,13.31,neutral
face5_01,13.32,13.35,angry
face5_01,13.36,13.38,happy
face5_01,13.39,13.47,angry
face5_01,13.05,14,sad
face5_01,14.11,14.15,sad
face5_01,14.16,14.19,sad
face5_01,14.02,14.25,angry
face5_01,14.26,14.37,neutral
face5_01,14.38,14.39,stress
face5_01,14.04,14.41,neutral
face5_01,14.42,14.46,angry
face5_01,14.47,14.48,relax
face5_01,14.49,14.53,happy
face5_01,14.54,14.56,stress
face5_01,14.57,14.58,happy
face5_01,14.59,15.03,neutral
face5_01,15.04,15.09,stress
face5_01,15.01,15.24,relax
face5_01,15.25,15.34,neutral
face5_01,15.35,15.39,angry
face5_01,15.04,15.41,relax
face5_01,15.42,15.46,happy
