video,time_start,time_end,label
face6_01,0.41,0.42,relax
face6_01,0.43,0.44,happy
face6_01,0.45,0.46,happy
face6_01,0.47,0.49,neutral
face6_01,0.05,0.51,happy
face6_01,0.52,0.53,happy
face6_01,0.54,0.55,happy
face6_01,0.56,0.57,happy
face6_01,0.57,1.01,happy
face6_01,1.06,1.07,happy
face6_01,1.08,1.11,relax
face6_01,1.11,1.12,neutral
face6_01,1.13,1.14,stress
face6_01,1.15,1.19,neutral
face6_01,1.02,1.39,neutral
face6_01,1.04,1.45,neutral
face6_01,1.46,1.49,happy
face6_01,1.52,1.53,happy
face6_01,1.54,2.02,neutral
face6_01,2.01,2.02,neutral
face6_01,2.03,2.04,neutral
face6_01,2.05,2.07,happy
face6_01,2.08,2.18,stress
face6_01,2.18,2.19,neutral
face6_01,2.21,2.23,neutral
face6_01,2.24,2.25,happy
face6_01,2.28,2.31,happy
face6_01,2.31,2.34,neutral
face6_01,2.35,2.42,stress
face6_01,2.43,2.51,neutral
face6_01,2.51,2.53,stress
face6_01,2.54,3.05,neutral
face6_01,3.06,3.08,stress
face6_01,3.09,3.15,neutral
face6_01,3.16,3.19,relax
face6_01,3.02,3.24,stress
face6_01,3.25,3.26,neutral
face6_01,3.27,3.28,happy
face6_01,3.31,3.38,relax
face6_01,3.39,3.43,sad
face6_01,3.44,3.46,happy
face6_01,3.47,3.48,relax
face6_01,3.49,3.51,happy
face6_01,3.51,3.52,neutral
face6_01,3.53,4.04,relax
face6_01,4.05,4.11,neutral
face6_01,4.11,4.13,relax
face6_01,4.14,4.16,relax
face6_01,4.17,4.18,happy
face6_01,4.19,4.21,neutral
face6_01,4.21,4.22,happy
face6_01,4.23,4.24,angry
face6_01,4.25,4.27,happy
face6_01,4.31,4.34,neutral
face6_01,4.38,4.45,neutral
face6_01,4.48,5,neutral
face6_01,5.01,5.02,happy
face6_01,5.03,5.07,stress
face6_01,5.08,5.09,happy
face6_01,5.13,5.16,happy
face6_01,5.17,5.22,neutral
face6_01,5.23,5.24,relax
face6_01,5.25,5.27,angry
face6_01,5.28,5.29,relax
face6_01,5.29,5.31,angry
face6_01,5.31,5.33,happy
face6_01,5.33,5.36,neutral
face6_01,5.37,5.41,stress
face6_01,5.41,5.42,stress
face6_01,5.43,5.44,stress
face6_01,5.45,5.53,stress
face6_01,5.45,5.46,stress
face6_01,5.56,6.02,neutral
face6_01,6.03,6.06,happy
face6_01,6.07,6.12,neutral
face6_01,6.13,6.15,stress
face6_01,6.16,6.17,stress
face6_01,6.18,6.21,stress
face6_01,6.21,6.31,neutral
face6_01,6.31,6.32,happy
face6_01,6.46,6.48,stress
face6_01,6.49,6.51,happy
face6_01,6.51,6.52,relax
face6_01,6.53,6.54,happy
face6_01,6.57,6.58,happy
face6_01,6.59,7.02,relax
face6_01,7.03,7.04,neutral
face6_01,7.05,7.09,happy
face6_01,7.01,7.16,neutral
face6_01,7.17,7.21,relax
face6_01,7.22,7.44,neutral
face6_01,7.45,7.51,relax
face6_01,7.51,7.55,neutral
face6_01,8.01,8.02,happy
face6_01,8.03,8.07,stress
face6_01,8.08,8.11,neutral
face6_01,8.17,8.33,neutral
face6_01,8.34,8.36,sad
face6_01,8.37,8.41,happy
face6_01,8.42,8.43,neutral
face6_01,8.44,8.55,neutral
face6_01,8.56,8.57,neutral
face6_01,8.58,9.11,neutral
face6_01,9.12,9.22,happy
face6_01,9.25,9.26,relax
face6_01,9.27,9.39,neutral
face6_01,9.04,9.44,happy
face6_01,9.48,9.49,happy
