video,time_start,time_end,label
face6_02,0.13,0.14,neutral
face6_02,0.14,0.18,relax
face6_02,0.19,0.23,happy
face6_02,0.24,0.25,happy
face6_02,0.26,0.27,relax
face6_02,0.27,0.29,neutral
face6_02,0.03,0.31,neutral
face6_02,0.32,0.35,relax
face6_02,0.36,0.41,happy
face6_02,0.41,0.43,happy
face6_02,0.44,0.54,relax
face6_02,0.55,0.59,happy
face6_02,1,1.07,relax
face6_02,1.16,1.18,happy
face6_02,1.19,1.21,relax
face6_02,1.22,1.23,relax
face6_02,1.24,1.25,neutral
face6_02,1.26,1.27,neutral
face6_02,1.27,1.35,stress
face6_02,1.36,1.37,stress
face6_02,1.38,1.39,stress
face6_02,1.04,1.41,neutral
face6_02,1.42,1.43,happy
face6_02,1.43,1.46,neutral
face6_02,1.47,1.59,happy
face6_02,2,2.08,happy
face6_02,2.08,2.09,relax
face6_02,2.01,2.19,neutral
face6_02,2.02,2.25,stress
face6_02,2.26,2.34,neutral
face6_02,2.35,2.41,happy
face6_02,2.41,2.47,stress
face6_02,2.48,3.03,sad
face6_02,3.09,3.14,neutral
face6_02,3.15,3.16,neutral
face6_02,3.17,3.21,relax
face6_02,3.21,3.23,neutral
face6_02,3.24,3.29,happy
face6_02,3.03,3.31,neutral
face6_02,3.32,3.35,stress
face6_02,3.36,3.37,relax
face6_02,3.37,3.39,neutral
face6_02,3.04,3.47,relax
face6_02,3.48,3.51,relax
face6_02,3.51,3.55,sad
face6_02,3.58,4.01,relax
face6_02,4.11,4.16,happy
face6_02,4.18,4.21,stress
face6_02,4.22,4.24,angry
face6_02,4.25,4.26,neutral
face6_02,4.26,4.32,sad
face6_02,4.33,4.34,happy
face6_02,4.34,4.37,happy
face6_02,4.38,4.43,happy
face6_02,4.44,4.51,neutral
face6_02,4.52,4.53,stress
face6_02,4.54,4.55,stress
face6_02,4.56,4.57,neutral 
face6_02,4.57,5.03,neutral 
face6_02,5.04,5.06,relax
face6_02,5.07,5.12,stress
face6_02,5.13,5.21,relax
face6_02,5.24,5.26,neutral
face6_02,5.27,5.31,happy
face6_02,5.32,5.35,stress
face6_02,5.36,5.38,neutral
face6_02,5.39,5.42,stress
face6_02,5.43,5.48,relax
face6_02,5.49,5.52,stress
face6_02,5.53,5.54,stress
face6_02,5.54,5.55,neutral
face6_02,5.55,5.58,relax
face6_02,5.59,6.02,neutral
face6_02,6.03,6.07,happy
face6_02,6.07,6.08,happy
face6_02,6.14,6.17,stress
face6_02,6.18,6.28,sad
face6_02,6.29,6.33,neutral
face6_02,6.34,6.41,neutral
face6_02,6.42,6.44,neutral
face6_02,6.45,6.47,stress
face6_02,6.48,6.51,happy
face6_02,6.51,6.53,happy
face6_02,6.54,6.56,happy
face6_02,6.57,7.08,neutral
face6_02,7.09,7.11,relax
face6_02,7.11,7.15,relax
face6_02,7.16,7.17,neutral
face6_02,7.18,7.19,relax
face6_02,7.19,7.21,happy
face6_02,7.21,7.22,relax
face6_02,7.22,7.23,relax
face6_02,7.24,7.26,relax
face6_02,7.27,7.31,neutral
face6_02,7.32,7.33,relax
face6_02,7.34,7.38,relax
face6_02,7.39,7.42,happy
face6_02,7.43,7.45,relax
face6_02,7.46,7.48,neutral
face6_02,7.49,7.51,relax
face6_02,7.5,7.51,neutral
face6_02,7.51,7.52,neutral
face6_02,7.53,7.54,stress
face6_02,7.54,7.58,happy
face6_02,8.03,8.06,relax
face6_02,8.07,8.21,relax
face6_02,8.22,8.23,relax
face6_02,8.23,8.29,neutral
face6_02,8.03,8.36,neutral
face6_02,8.37,8.41,relax
face6_02,8.41,8.43,stress
face6_02,8.44,8.49,neutral
face6_02,8.05,8.52,relax
face6_02,8.53,8.59,neutral
face6_02,9,9.01,neutral
face6_02,9.01,9.03,neutral
face6_02,9.04,9.05,stress
face6_02,9.06,9.08,neutral
face6_02,9.09,9.19,relax
face6_02,9.02,9.22,neutral
face6_02,9.23,9.26,angry
face6_02,9.27,9.38,neutral
face6_02,9.39,9.42,stress
face6_02,9.43,9.45,happy
face6_02,9.46,9.52,neutral
face6_02,9.53,9.58,stress
face6_02,9.59,10.05,neutral
