video,time_start,time_end,label
face9_3,0.18,0.24,neutral
face9_3,0.25,0.31,relax
face9_3,0.36,0.41,relax
face9_3,0.41,0.49,relax
face9_3,0.05,0.52,relax
face9_3,0.53,0.58,neutral
face9_3,1.06,1.16,neutral
face9_3,1.17,1.18,neutral
face9_3,1.19,1.33,neutral
face9_3,1.34,1.38,stress
face9_3,1.46,1.47,relax
face9_3,1.48,1.49,relax
face9_3,1.59,2,relax
face9_3,2.01,2.34,relax
face9_3,2.35,2.38,happy
face9_3,2.39,2.41,neutral
face9_3,2.42,2.44,happy
face9_3,2.56,3.06,stress
face9_3,3.07,3.08,stress
face9_3,3.09,3.13,stress
face9_3,3.14,3.15,stress
face9_3,3.17,3.19,neutral
face9_3,3.03,3.43,stress
face9_3,3.44,3.49,happy
face9_3,3.05,4.03,neutral
face9_3,4.04,4.05,relax
face9_3,4.06,4.07,happy
