Time,time_start,time_end,label
0.10 - 0.15,0.1,0.15,มีความสุข
0.16 - 0.22,0.16,0.22,มีความสุข
0.23 - 0.26,0.23,0.26,ผ่อนคลาย
0.27-0.31,0.27,0.31,neutral
0.36-0.50,0.36,0.51,neutral
0.51 - 1.00,0.51,1,ผ่อนคลาย
1.01 - 1.03 ,1.01,1.03,neutral
1.04 - 1.05,1.04,1.05,neutral
1.13-1.14,1.13,1.14,ผ่อนคลาย
1.15-1.16,1.15,1.16,neutral
1.17 - 1.36,1.17,1.36,มีความสุข
1.37-1.41,1.37,1.41,เครียด
1.42-1.48,1.42,1.48,ผ่อนคลาย
1.49-1.52,1.49,1.52,เครียด
1.56-2.10,1.56,2.1,neutral
2.11 - 2.18,2.11,2.18,เครียด
2.19-2.22,2.19,2.22,neutral
2.23 - 2.26,2.23,2.26,เศร้า
2.31-2.32,2.31,2.32,เศร้า
2.33-2.44,2.33,2.44,เครียด
2.45-2.47,2.45,2.47,ผ่อนคลาย
2.51-2.52,2.51,2.52,neutral
3.08-3.10,3.08,3.11,เครียด
3.11-3.14,3.11,3.14,neutral
3.18-3.25,3.18,3.25,neutral
3.26 - 3.27,3.26,3.27,neutral
3.28 - 3.32,3.28,3.32,โกรธ
3.33 - 3.51,3.33,3.51,เครียด
3.54-3.58,3.54,3.58,โกรธ
4.01 - 4.05,4.01,4.05,ผ่อนคลาย
4.06 - 4.11,4.06,4.11,เครียด
4:16 - 4.21,0.18,4.21,neutral
4.22-4.24,4.22,4.24,โกรธ
4.31-4.32,4.31,4.32,ผ่อนคลาย
4.33 - 4.39,4.33,4.39,เครียด
4.40-4.42,4.4,4.42,เศร้า
4.43 - 4.45,4.43,4.45,เศร้า
4.46 - 5.01,4.46,5.01,เศร้า
5.27 - 5.31,5.27,5.31,มีความสุข
5.32-5.36,5.32,5.36,neutral
5.37-5.41,5.37,5.41,มีความสุข
5.42 - 5.51,5.42,5.51,เครียด
5.52 - 6.13,5.52,6.13,ผ่อนคลาย
