,video,time_start,time_end,label,start_sec,end_sec
0,face2_02,0.26,0.35,happy,26.0,35.0
1,face2_02,0.36,0.38,relax,36.0,38.0
2,face2_02,0.43,0.53,neutral,43.0,53.0
3,face2_02,0.54,0.58,happy,54.0,58.0
4,face2_02,0.59,1.03,happy,59.0,63.0
5,face2_02,1.19,1.22,happy,79.0,82.0
6,face2_02,1.23,1.31,angry,83.0,91.0
7,face2_02,1.44,1.49,neutral,104.0,109.0
8,face2_02,1.59,2.0,happy,119.0,120.0
9,face2_02,2.03,2.08,relax,123.0,128.0
10,face2_02,2.14,2.15,angry,134.0,135.0
11,face2_02,2.17,2.18,happy,137.0,138.0
12,face2_02,2.19,2.21,happy,139.0,141.0
13,face2_02,2.27,2.36,relax,147.0,156.0
14,face2_02,2.39,2.43,happy,159.0,163.0
15,face2_02,2.47,2.51,neutral,167.0,171.0
16,face2_02,2.55,2.59,neutral,175.0,179.0
17,face2_02,3.03,3.07,happy,183.0,187.0
18,face2_02,3.14,3.21,neutral,194.0,201.0
19,face2_02,3.24,3.28,happy,204.0,208.0
20,face2_02,3.29,3.35,angry,209.0,215.0
21,face2_02,3.36,3.42,neutral,216.0,222.0
22,face2_02,3.46,3.51,neutral,226.0,231.0
23,face2_02,3.51,3.58,happy,231.0,238.0
24,face2_02,3.59,4.0,angry,239.0,240.0
25,face2_02,4.23,4.25,neutral,263.0,265.0
26,face2_02,4.29,4.31,relax,269.0,271.0
27,face2_02,4.31,4.43,angry,271.0,283.0
28,face2_02,4.56,5.03,happy,296.0,303.0
29,face2_02,5.04,5.14,neutral,304.0,314.0
30,face2_02,5.17,5.27,relax,317.0,327.0
31,face2_02,5.31,5.57,neutral,331.0,357.0
32,face2_02,5.58,6.01,happy,358.0,361.0
33,face2_02,6.11,6.22,happy,371.0,382.0
34,face2_02,6.23,6.45,relax,383.0,405.0
35,face2_02,6.45,6.49,happy,405.0,409.0
36,face2_02,6.05,6.56,relax,365.0,416.0
37,face2_02,6.57,7.01,relax,417.0,421.0
38,face2_02,7.02,7.05,relax,422.0,425.0
39,face2_02,7.06,7.15,neutral,426.0,435.0
40,face2_02,7.15,7.17,happy,435.0,437.0
41,face2_02,7.22,7.32,relax,442.0,452.0
42,face2_02,7.36,7.44,happy,456.0,464.0
43,face2_02,7.44,7.45,happy,464.0,465.0
44,face2_02,7.46,7.58,happy,466.0,478.0
45,face2_02,7.59,8.11,relax,479.0,491.0
46,face2_02,8.12,8.13,happy,492.0,493.0
47,face2_02,8.14,8.22,neutral,494.0,502.0
48,face2_02,8.23,8.29,angry,503.0,509.0
49,face2_02,8.03,8.41,angry,483.0,521.0
50,face2_02,8.44,8.48,happy,524.0,528.0
51,face2_02,8.49,8.53,neutral,529.0,533.0
52,face2_02,9.01,9.03,happy,541.0,543.0
53,face2_02,9.04,9.23,relax,544.0,563.0
54,face2_02,9.03,9.34,happy,543.0,574.0
55,face2_02,9.35,9.39,relax,575.0,579.0
56,face2_02,9.04,9.42,happy,544.0,582.0
57,face2_02,9.53,9.55,happy,593.0,595.0
58,face2_02,10.01,10.04,neutral,601.0,604.0
59,face2_02,10.08,10.21,neutral,608.0,621.0
60,face2_02,10.33,10.41,happy,633.0,641.0
61,face2_02,10.48,10.55,angry,648.0,655.0
62,face2_02,10.56,10.57,happy,656.0,657.0
63,face2_02,11.06,11.13,angry,666.0,673.0
64,face2_02,11.14,11.15,happy,674.0,675.0
65,face2_02,11.21,11.25,relax,681.0,685.0
66,face2_02,11.29,11.41,relax,689.0,701.0
67,face2_02,11.41,11.43,happy,701.0,703.0
68,face2_02,11.46,11.55,neutral,706.0,715.0
69,face2_02,11.59,12.08,happy,719.0,728.0
70,face2_02,12.09,12.12,relax,729.0,732.0
71,face2_02,12.21,12.24,happy,741.0,744.0
72,face2_02,11.31,11.49,happy,691.0,709.0
73,face2_02,11.05,11.52,neutral,665.0,712.0
