,Time,time_start,time_end,label,start_sec,end_sec
0,0.22 - 0.24,0.22,0.24,neutral,22.0,24.0
1,0.25 - 0.31,0.25,0.31,neutral,25.0,31.0
2,0.32 - 0.40,0.32,0.41,happy,32.0,41.0
3,0.47 - 1.11,0.47,1.11,neutral,47.0,71.0
4,1.12 - 1.17,1.12,1.17,neutral,72.0,77.0
5,1.18 - 1.20,1.18,1.21,angry,78.0,81.0
6,1.28 - 1.30,1.28,1.31,neutral,88.0,91.0
7,1.37 - 1.39,1.37,1.39,happy,97.0,99.0
8,1.40 - 1.42,1.4,1.42,happy,64.0,102.0
9,1.43-1.45,1.43,1.45,angry,103.0,105.0
10,1.46-1.50,1.46,1.51,neutral,106.0,111.0
11,1.51-1.59,1.51,1.59,neutral,111.0,119.0
12,2.00-2.09,2.0,2.09,happy,120.0,129.0
13,2.10-2.12,2.1,2.12,neutral,121.0,132.0
14,2.13 - 2.15,2.13,2.15,angry,133.0,135.0
15,2.16-2.20,2.16,2.21,angry,136.0,141.0
16,2.21-2.23,2.21,2.23,neutral,141.0,143.0
17,2.24 - 2.29,2.24,2.29,happy,144.0,149.0
18,2.30 - 2.32,2.3,2.32,happy,123.0,152.0
19,2.33-2.40,2.33,2.41,happy,153.0,161.0
20,2.41-2.43,2.41,2.43,neutral,161.0,163.0
21,2.44-2.58,2.44,2.58,happy,164.0,178.0
22,2.59-3.01,2.59,3.01,happy,179.0,181.0
23,3.02-3.12,3.02,3.12,happy,182.0,192.0
24,3.13-3.15,3.13,3.15,neutral,193.0,195.0
25,3.16-3.17,3.16,3.17,happy,196.0,197.0
26,3.18-3.19,3.18,3.19,neutral,198.0,199.0
27,3.20 - 3.30,3.2,3.3,happy,182.0,183.0
28,3.31-3.32,3.31,3.32,angry,211.0,212.0
29,3.37-3.40,3.37,3.41,angry,217.0,221.0
30,3.41-3.46,3.41,3.46,relax,221.0,226.0
31,3.47 - 3.53,3.47,3.53,happy,227.0,233.0
32,3.54 - 4.05,3.54,4.05,happy,234.0,245.0
33,4.06-4.08,4.06,4.08,neutral,246.0,248.0
34,4.09-4.11,4.09,4.11,neutral,249.0,251.0
35,4.12-4.13,4.12,4.13,relax,252.0,253.0
36,4.14-4.16,4.14,4.16,relax,254.0,256.0
37,4.17-4.21,4.17,4.21,neutral,257.0,261.0
38,4.22-4.23,4.22,4.23,happy,262.0,263.0
39,4.29-4.34,4.29,4.34,neutral,269.0,274.0
40,4.35-4.36,4.35,4.36,happy,275.0,276.0
41,4.37-4.41,4.37,4.41,neutral,277.0,281.0
42,4.42-4.44,4.42,4.44,relax,282.0,284.0
43,4.45-4.46,4.45,4.46,angry,285.0,286.0
44,4.47-4.56,4.47,4.56,neutral,287.0,296.0
45,4.57-4.59,4.57,4.59,relax,297.0,299.0
46,5.16-5.25,5.16,5.25,neutral,316.0,325.0
47,5.26-5.27,5.26,5.27,relax,326.0,327.0
48,5.28-5.29,5.28,5.29,neutral,328.0,329.0
49,5.30-3.37,5.3,5.37,angry,303.0,337.0
50,3.38-3.41,3.38,3.41,neutral,218.0,221.0
51,5.47 - 5.49,5.47,5.49,angry,347.0,349.0
52,6.08-6.14,6.08,6.14,angry,368.0,374.0
53,6.15-6.19,6.15,6.19,angry,375.0,379.0
54,6.20-6.30,6.2,6.3,relax,362.0,363.0
55,6.38 - 6.43,6.38,6.43,happy,398.0,403.0
56,6.44-6.49,6.44,6.49,neutral,404.0,409.0
57,6.50-6.56,6.5,6.56,relax,365.0,416.0
58,6.57-6.59,6.57,6.59,neutral,417.0,419.0
