,Time,time_start,time_end,label,start_sec,end_sec
0,1.26 - 1.29,1.26,1.29,angry,86.0,89.0
1,2.06 - 2.19,2.06,2.19,sad,126.0,139.0
2,2.20-2.38,2.2,2.38,angry,122.0,158.0
3,3.41-3.43,3.41,3.43,angry,221.0,223.0
4,2.54 - 3.01,2.54,3.01,neutral,174.0,181.0
5,3.02-3.09,3.02,3.09,neutral,182.0,189.0
6,3.15 - 3.18,3.15,3.18,neutral,195.0,198.0
7,3.30 - 3.34,3.3,3.34,angry,183.0,214.0
8,4.03 - 4.08,4.03,4.08,angry,243.0,248.0
9,4.16 - 4.22,4.16,4.22,neutral,256.0,262.0
10,4.33 - 4.55,4.33,4.55,angry,273.0,295.0
11,5.04 - 5.12,5.04,5.12,neutral,304.0,312.0
12,5.23 - 5.24,5.23,5.24,neutral,323.0,324.0
13,5.25-5.38,5.25,5.38,neutral,325.0,338.0
14,5.31-5.38,5.31,5.38,angry,331.0,338.0
15,5.39 - 5.41,5.39,5.41,relax,339.0,341.0
16,5.47 - 5.55,5.47,5.55,neutral,347.0,355.0
17,6.27 - 6.37,6.27,6.37,sad,387.0,397.0
18,6.38-6.40,6.38,6.41,sad,398.0,401.0
19,6.41-6.47,6.41,6.47,happy,401.0,407.0
20,6.48 - 6.50,6.48,6.51,sad,408.0,411.0
21,6.51-6.52,6.51,6.52,happy,411.0,412.0
