,video,time_start,time_end,label,start_sec,end_sec
0,face10_02,0.0,0.06,happy,0.0,6.0
1,face10_02,0.09,0.11,happy,9.0,11.0
2,face10_02,0.11,0.13,happy,11.0,13.0
3,face10_02,0.25,0.26,neutral,25.0,26.0
4,face10_02,0.27,0.28,relax,27.0,28.0
5,face10_02,0.29,0.31,happy,29.0,31.0
6,face10_02,0.31,0.36,angry,31.0,36.0
7,face10_02,0.35,0.36,angry,35.0,36.0
8,face10_02,0.38,0.41,neutral,38.0,41.0
9,face10_02,0.41,0.42,neutral,41.0,42.0
10,face10_02,0.43,0.51,relax,43.0,51.0
11,face10_02,0.51,0.52,happy,51.0,52.0
12,face10_02,0.54,0.56,happy,54.0,56.0
13,face10_02,0.57,1.09,neutral,57.0,69.0
14,face10_02,1.01,1.11,neutral,61.0,71.0
15,face10_02,1.12,1.16,neutral,72.0,76.0
16,face10_02,1.19,1.22,relax,79.0,82.0
17,face10_02,1.23,1.25,happy,83.0,85.0
18,face10_02,1.26,1.32,happy,86.0,92.0
19,face10_02,1.33,1.41,neutral,93.0,101.0
20,face10_02,1.44,1.46,happy,104.0,106.0
21,face10_02,1.05,2.01,happy,65.0,121.0
22,face10_02,2.04,2.05,happy,124.0,125.0
23,face10_02,2.06,2.07,neutral,126.0,127.0
24,face10_02,2.08,2.14,neutral,128.0,134.0
25,face10_02,2.28,2.35,happy,148.0,155.0
26,face10_02,2.36,2.37,happy,156.0,157.0
27,face10_02,2.38,2.41,happy,158.0,161.0
28,face10_02,2.42,2.43,neutral,162.0,163.0
29,face10_02,2.46,2.48,happy,166.0,168.0
30,face10_02,2.49,2.56,neutral,169.0,176.0
31,face10_02,2.57,3.08,relax,177.0,188.0
32,face10_02,3.07,3.09,happy,187.0,189.0
33,face10_02,3.01,3.14,relax,181.0,194.0
34,face10_02,3.15,3.17,relax,195.0,197.0
35,face10_02,3.18,3.19,happy,198.0,199.0
36,face10_02,3.02,3.22,happy,182.0,202.0
37,face10_02,3.23,3.25,happy,203.0,205.0
38,face10_02,3.26,3.28,happy,206.0,208.0
39,face10_02,3.29,3.31,happy,209.0,211.0
40,face10_02,3.33,3.35,neutral,213.0,215.0
41,face10_02,3.04,3.43,angry,184.0,223.0
42,face10_02,3.45,3.49,neutral,225.0,229.0
43,face10_02,3.53,3.59,angry,233.0,239.0
44,face10_02,4.0,4.01,angry,240.0,241.0
45,face10_02,4.02,4.05,happy,242.0,245.0
46,face10_02,4.06,4.12,angry,246.0,252.0
47,face10_02,4.14,4.23,angry,254.0,263.0
48,face10_02,4.24,4.28,neutral,264.0,268.0
49,face10_02,4.31,4.38,neutral,271.0,278.0
50,face10_02,4.39,4.47,happy,279.0,287.0
51,face10_02,4.48,4.51,happy,288.0,291.0
52,face10_02,4.58,5.01,neutral,298.0,301.0
53,face10_02,5.02,5.16,angry,302.0,316.0
54,face10_02,5.17,5.21,happy,317.0,321.0
55,face10_02,5.21,5.29,neutral,321.0,329.0
56,face10_02,5.03,5.04,happy,303.0,304.0
57,face10_02,5.41,5.52,sad,341.0,352.0
58,face10_02,5.53,5.56,happy,353.0,356.0
59,face10_02,5.57,6.06,happy,357.0,366.0
60,face10_02,6.07,6.11,happy,367.0,371.0
61,face10_02,6.13,6.17,relax,373.0,377.0
62,face10_02,6.18,6.22,neutral,378.0,382.0
63,face10_02,6.23,6.28,angry,383.0,388.0
64,face10_02,6.29,6.41,angry,389.0,401.0
65,face10_02,6.42,6.43,happy,402.0,403.0
