,data_team,psy_team,pred
frame_000072.PNG,2,2,2
frame_000073.PNG,2,2,2
frame_000074.PNG,2,2,4
frame_000075.PNG,2,2,2
frame_000076.PNG,2,2,2
frame_000077.PNG,2,2,0
frame_000078.PNG,2,2,2
frame_000079.PNG,2,2,2
frame_000080.PNG,2,2,2
frame_000081.PNG,2,2,2
frame_000082.PNG,2,2,0
frame_000083.PNG,2,2,2
frame_000084.PNG,2,2,2
frame_000085.PNG,2,2,0
frame_000086.PNG,2,2,3
frame_000087.PNG,4,2,2
frame_000088.PNG,4,2,2
frame_000089.PNG,4,2,2
frame_000090.PNG,4,2,0
frame_000091.PNG,4,2,0
frame_000096.PNG,4,2,0
frame_000097.PNG,4,2,2
frame_000098.PNG,4,2,0
frame_000114.PNG,2,2,2
frame_000115.PNG,2,2,2
frame_000116.PNG,2,2,2
frame_000117.PNG,2,2,2
frame_000118.PNG,2,2,2
frame_000119.PNG,2,2,2
frame_000120.PNG,2,2,2
frame_000121.PNG,2,2,2
frame_000122.PNG,2,0,2
frame_000134.PNG,1,2,0
frame_000135.PNG,1,2,1
frame_000136.PNG,1,2,1
frame_000137.PNG,1,2,1
frame_000138.PNG,1,2,2
frame_000139.PNG,1,2,0
frame_000140.PNG,1,2,2
frame_000141.PNG,1,2,2
frame_000142.PNG,1,3,2
frame_000143.PNG,1,2,0
frame_000144.PNG,1,2,2
frame_000145.PNG,1,2,2
frame_000146.PNG,1,2,2
frame_000147.PNG,1,3,2
frame_000148.PNG,1,3,2
frame_000149.PNG,1,2,1
frame_000150.PNG,1,2,2
frame_000151.PNG,1,2,2
frame_000152.PNG,1,2,2
frame_000158.PNG,1,2,2
frame_000159.PNG,1,2,0
frame_000160.PNG,1,2,0
frame_000161.PNG,1,2,2
frame_000162.PNG,1,2,0
frame_000163.PNG,1,2,0
frame_000164.PNG,1,2,0
frame_000165.PNG,1,2,0
frame_000170.PNG,4,4,0
frame_000171.PNG,4,4,2
frame_000172.PNG,4,4,2
frame_000173.PNG,4,4,0
frame_000174.PNG,4,4,2
frame_000175.PNG,4,4,4
frame_000176.PNG,4,4,2
frame_000177.PNG,4,4,2
frame_000178.PNG,4,4,2
frame_000179.PNG,4,4,0
frame_000180.PNG,4,4,0
frame_000181.PNG,4,2,2
frame_000182.PNG,4,2,3
frame_000183.PNG,4,4,0
frame_000188.PNG,4,4,1
frame_000189.PNG,4,4,2
frame_000190.PNG,4,4,2
frame_000191.PNG,4,4,1
