video,time_start,time_end,label
face10_02,0.00,0.06,happy
face10_02,0.09,0.01,happy
face10_02,0.11,0.13,happy
face10_02,0.25,0.26,neutral
face10_02,0.27,0.28,relax
face10_02,0.29,0.03,happy
face10_02,0.31,0.36,stress
face10_02,0.35,0.36,stress
face10_02,0.38,0.04,neutral
face10_02,0.41,0.42,neutral
face10_02,0.43,0.05,relax
face10_02,0.51,0.52,happy
face10_02,0.54,0.56,happy
face10_02,0.57,1.09,neutral
face10_02,1.01,1.11,neutral
face10_02,1.12,1.16,neutral
face10_02,1.19,1.22,relax
face10_02,1.23,1.25,happy
face10_02,1.26,1.32,happy
face10_02,1.33,1.41,neutral
face10_02,1.44,1.46,happy
face10_02,1.05,2.01,happy
face10_02,2.04,2.05,happy
face10_02,2.06,2.07,neutral
face10_02,2.08,2.14,neutral
face10_02,2.28,2.35,happy
face10_02,2.36,2.37,happy
face10_02,2.38,2.41,happy
face10_02,2.42,2.43,neutral
face10_02,2.46,2.48,happy
face10_02,2.49,2.56,neutral
face10_02,2.57,3.08,relax
face10_02,3.07,3.09,happy
face10_02,3.01,3.14,relax
face10_02,3.15,3.17,relax
face10_02,3.18,3.19,happy
face10_02,3.02,3.22,happy
face10_02,3.23,3.25,happy
face10_02,3.26,3.28,happy
face10_02,3.29,3.31,happy
face10_02,3.33,3.35,neutral
face10_02,3.04,3.43,stress
face10_02,3.45,3.49,neutral
face10_02,3.53,3.59,stress
face10_02,4.00,4.01,stress
face10_02,4.02,4.05,happy
face10_02,4.06,4.12,angry
face10_02,4.14,4.23,angry
face10_02,4.24,4.28,neutral
face10_02,4.31,4.38,neutral
face10_02,4.39,4.47,happy
face10_02,4.48,4.51,happy
face10_02,4.58,5.01,neutral
face10_02,5.02,5.16,angry
face10_02,5.17,5.02,happy
face10_02,5.21,5.29,neutral
face10_02,5.03,5.04,happy
face10_02,5.41,5.52,sad
face10_02,5.53,5.56,happy
face10_02,5.57,6.06,happy
face10_02,6.07,6.01,happy
face10_02,6.13,6.17,relax
face10_02,6.18,6.22,neutral
face10_02,6.23,6.28,stress
face10_02,6.29,6.41,stress
face10_02,6.42,6.43,happy
face10_02,6.44,6.52,stress
face10_02,6.53,6.54,happy
face10_02,6.55,7.19,happy
face10_02,7.02,7.29,neutral
face10_02,7.35,7.38,neutral
face10_02,7.39,7.42,happy
face10_02,7.43,7.54,neutral
face10_02,7.55,7.59,stress
face10_02,8.00,8.02,relax
face10_02,8.03,8.07,angry
face10_02,8.08,8.01,angry
face10_02,8.11,8.15,neutral
face10_02,8.02,8.26,angry
face10_02,8.27,8.03,angry
face10_02,8.31,8.38,neutral
face10_02,8.39,8.52,angry
face10_02,8.53,9.12,angry
face10_02,9.13,9.14,happy
face10_02,9.15,9.22,angry
face10_02,9.23,9.24,happy
face10_02,9.25,9.28,happy
face10_02,9.29,9.36,angry
face10_02,9.37,9.42,happy
face10_02,9.42,9.44,happy
face10_02,9.54,10.09,angry
face10_02,10.01,10.11,happy
face10_02,10.12,10.15,relax
face10_02,10.16,10.17,happy
face10_02,10.18,10.19,angry
face10_02,10.02,10.28,stress
face10_02,10.29,10.31,happy
face10_02,10.32,10.41,relax
face10_02,10.42,10.45,neutral
face10_02,10.55,11.02,angry
face10_02,11.06,11.09,angry
face10_02,11.01,11.12,relax
face10_02,11.13,11.14,happy
face10_02,11.15,11.25,stress
face10_02,11.26,11.36,happy
face10_02,11.37,11.44,neutral
face10_02,11.45,11.48,sad
face10_02,11.49,11.59,stress
face10_02,12.13,12.15,happy
