video,time_start,time_end,label
face9_1,0.14,0.15,neutral
face9_1,0.25,0.31,neutral
face9_1,0.56,0.57,happy
face9_1,0.58,1.06,relax
face9_1,1.07,1.12,neutral
face9_1,1.03,1.32,neutral
face9_1,1.33,1.39,happy
face9_1,1.04,1.43,neutral
face9_1,2.04,2.15,neutral
face9_1,2.16,2.49,happy
face9_1,2.05,2.59,neutral
face9_1,3.00,3.03,happy
face9_1,3.04,3.15,neutral
face9_1,3.16,3.19,happy
face9_1,3.24,3.37,neutral
face9_1,3.38,3.51,relax
face9_1,3.52,4.26,neutral
face9_1,4.27,4.03,happy
face9_1,4.31,4.34,relax
face9_1,4.41,4.53,neutral
face9_1,4.58,5.05,neutral
face9_1,5.06,5.13,relax
face9_1,5.14,5.17,neutral
face9_1,5.18,5.26,relax
face9_1,5.27,5.28,neutral
face9_1,5.29,5.42,relax
face9_1,5.43,5.46,neutral
face9_1,5.47,6.00,relax
face9_1,6.03,6.13,happy
