,video,time_start,time_end,label,start_sec,end_sec
0,face2_01,0.01,0.55,neutral,1.0,55.0
1,face2_01,0.56,1.08,relax,56.0,68.0
2,face2_01,1.09,1.24,neutral,69.0,84.0
3,face2_01,1.32,1.36,angry,92.0,96.0
4,face2_01,1.37,1.41,angry,97.0,101.0
5,face2_01,1.41,1.44,happy,101.0,104.0
6,face2_01,1.45,1.57,neutral,105.0,117.0
7,face2_01,1.58,2.01,angry,118.0,121.0
8,face2_01,2.02,2.08,neutral,122.0,128.0
9,face2_01,2.09,2.14,angry,129.0,134.0
10,face2_01,2.15,2.21,happy,135.0,141.0
11,face2_01,2.21,2.28,happy,141.0,148.0
12,face2_01,2.31,2.34,happy,151.0,154.0
13,face2_01,2.37,2.41,happy,157.0,161.0
14,face2_01,2.42,2.49,neutral,162.0,169.0
15,face2_01,3.11,3.13,angry,191.0,193.0
16,face2_01,3.14,3.19,neutral,194.0,199.0
17,face2_01,3.02,3.31,angry,182.0,211.0
18,face2_01,3.32,3.35,sad,212.0,215.0
19,face2_01,3.36,4.03,sad,216.0,243.0
20,face2_01,4.04,4.05,sad,244.0,245.0
21,face2_01,4.06,4.09,angry,246.0,249.0
22,face2_01,4.01,4.02,angry,241.0,242.0
23,face2_01,4.21,4.25,neutral,261.0,265.0
24,face2_01,4.26,4.27,happy,266.0,267.0
25,face2_01,4.28,4.34,angry,268.0,274.0
26,face2_01,4.57,5.04,neutral,297.0,304.0
27,face2_01,5.05,5.06,happy,305.0,306.0
28,face2_01,5.07,5.08,neutral,307.0,308.0
29,face2_01,5.17,5.19,angry,317.0,319.0
30,face2_01,5.02,5.23,happy,302.0,323.0
31,face2_01,5.24,5.28,angry,324.0,328.0
32,face2_01,5.36,5.41,neutral,336.0,341.0
33,face2_01,5.41,5.43,angry,341.0,343.0
34,face2_01,5.48,5.52,happy,348.0,352.0
35,face2_01,5.53,5.54,happy,353.0,354.0
36,face2_01,5.55,5.59,happy,355.0,359.0
37,face2_01,6.08,6.09,happy,368.0,369.0
38,face2_01,6.01,6.13,angry,361.0,373.0
39,face2_01,6.17,6.18,happy,377.0,378.0
40,face2_01,6.22,6.26,angry,382.0,386.0
41,face2_01,6.27,6.34,relax,387.0,394.0
42,face2_01,6.35,6.37,angry,395.0,397.0
43,face2_01,6.38,6.39,relax,398.0,399.0
44,face2_01,6.04,6.43,happy,364.0,403.0
45,face2_01,6.44,6.46,angry,404.0,406.0
46,face2_01,6.54,6.55,angry,414.0,415.0
