,video,time_start,time_end,label,start_sec,end_sec
0,face9_3,0.18,0.24,neutral,18.0,24.0
1,face9_3,0.25,0.31,relax,25.0,31.0
2,face9_3,0.36,0.41,relax,36.0,41.0
3,face9_3,0.41,0.49,relax,41.0,49.0
4,face9_3,0.05,0.52,relax,5.0,52.0
5,face9_3,0.53,0.58,neutral,53.0,58.0
6,face9_3,1.06,1.16,neutral,66.0,76.0
7,face9_3,1.17,1.18,neutral,77.0,78.0
8,face9_3,1.19,1.33,neutral,79.0,93.0
9,face9_3,1.34,1.38,angry,94.0,98.0
10,face9_3,1.46,1.47,relax,106.0,107.0
11,face9_3,1.48,1.49,relax,108.0,109.0
12,face9_3,1.59,2.0,relax,119.0,120.0
13,face9_3,2.01,2.34,relax,121.0,154.0
14,face9_3,2.35,2.38,happy,155.0,158.0
15,face9_3,2.39,2.41,neutral,159.0,161.0
16,face9_3,2.42,2.44,happy,162.0,164.0
17,face9_3,2.56,3.06,angry,176.0,186.0
18,face9_3,3.07,3.08,angry,187.0,188.0
19,face9_3,3.09,3.13,angry,189.0,193.0
20,face9_3,3.14,3.15,angry,194.0,195.0
21,face9_3,3.17,3.19,neutral,197.0,199.0
22,face9_3,3.03,3.43,angry,183.0,223.0
23,face9_3,3.44,3.49,happy,224.0,229.0
24,face9_3,3.05,4.03,neutral,185.0,243.0
25,face9_3,4.04,4.05,relax,244.0,245.0
26,face9_3,4.06,4.07,happy,246.0,247.0
