,Time,time_start,time_end,label,start_sec,end_sec
0,0.39 - 0.52,0.39,0.52,neutral,39.0,52.0
1,1.45 - 1.57,1.45,1.57,angry,105.0,117.0
2,1.58-2.01,1.58,2.01,angry,118.0,121.0
3,2.02-2.14,2.02,2.14,angry,122.0,134.0
4,4.07 - 4.08,4.07,4.08,happy,247.0,248.0
5,4.15 - 4.16 ,4.15,4.16,happy,255.0,256.0
6,4.17 - 4.21,4.17,4.21,happy,257.0,261.0
7,4.22 - 4.25,4.22,4.25,happy,262.0,265.0
8,4.26 - 4.34,4.26,4.34,angry,266.0,274.0
9,4.45 - 4.46,4.45,4.46,neutral,285.0,286.0
10,4.47-4.49,4.47,4.49,angry,287.0,289.0
11,4.52-5.10,4.52,5.1,angry,292.0,301.0
12,5.18 - 5.54,5.18,5.54,angry,318.0,354.0
