,id,name,label,img_url
0,0,frame_000000,negative-deactive,frame_000000.PNG
1,1,frame_000001,negative-deactive,frame_000001.PNG
2,2,frame_000002,negative-deactive,frame_000002.PNG
3,3,frame_000003,positive-deactive,frame_000003.PNG
4,4,frame_000004,positive-deactive,frame_000004.PNG
5,5,frame_000005,positive-deactive,frame_000005.PNG
6,6,frame_000006,positive-deactive,frame_000006.PNG
7,7,frame_000007,positive-deactive,frame_000007.PNG
8,9,frame_000009,positive-active,frame_000009.PNG
9,10,frame_000010,positive-active,frame_000010.PNG
10,11,frame_000011,positive-active,frame_000011.PNG
11,12,frame_000012,positive-active,frame_000012.PNG
12,13,frame_000013,positive-active,frame_000013.PNG
13,14,frame_000014,positive-active,frame_000014.PNG
14,15,frame_000015,positive-active,frame_000015.PNG
15,16,frame_000016,positive-active,frame_000016.PNG
16,17,frame_000017,positive-active,frame_000017.PNG
17,18,frame_000018,positive-active,frame_000018.PNG
18,19,frame_000019,positive-active,frame_000019.PNG
19,20,frame_000020,positive-active,frame_000020.PNG
20,21,frame_000021,positive-active,frame_000021.PNG
21,22,frame_000022,positive-active,frame_000022.PNG
22,23,frame_000023,positive-active,frame_000023.PNG
23,24,frame_000024,positive-active,frame_000024.PNG
24,25,frame_000025,positive-active,frame_000025.PNG
25,26,frame_000026,positive-active,frame_000026.PNG
26,27,frame_000027,positive-active,frame_000027.PNG
27,28,frame_000028,positive-active,frame_000028.PNG
28,29,frame_000029,positive-active,frame_000029.PNG
29,30,frame_000030,positive-active,frame_000030.PNG
30,31,frame_000031,positive-active,frame_000031.PNG
31,32,frame_000032,positive-active,frame_000032.PNG
32,33,frame_000033,positive-active,frame_000033.PNG
33,34,frame_000034,positive-active,frame_000034.PNG
34,35,frame_000035,positive-active,frame_000035.PNG
35,36,frame_000036,positive-active,frame_000036.PNG
36,37,frame_000037,positive-active,frame_000037.PNG
37,38,frame_000038,positive-active,frame_000038.PNG
38,39,frame_000039,positive-active,frame_000039.PNG
39,40,frame_000040,positive-active,frame_000040.PNG
40,41,frame_000041,negative-deactive,frame_000041.PNG
41,42,frame_000042,negative-deactive,frame_000042.PNG
42,43,frame_000043,negative-deactive,frame_000043.PNG
43,44,frame_000044,negative-deactive,frame_000044.PNG
44,45,frame_000045,negative-deactive,frame_000045.PNG
45,46,frame_000046,negative-deactive,frame_000046.PNG
46,52,frame_000052,neutral,frame_000052.PNG
47,53,frame_000053,neutral,frame_000053.PNG
48,54,frame_000054,neutral,frame_000054.PNG
49,55,frame_000055,neutral,frame_000055.PNG
50,56,frame_000056,neutral,frame_000056.PNG
51,57,frame_000057,neutral,frame_000057.PNG
52,58,frame_000058,neutral,frame_000058.PNG
53,59,frame_000059,neutral,frame_000059.PNG
54,71,frame_000071,neutral,frame_000071.PNG
55,72,frame_000072,neutral,frame_000072.PNG
56,73,frame_000073,neutral,frame_000073.PNG
57,74,frame_000074,neutral,frame_000074.PNG
58,75,frame_000075,neutral,frame_000075.PNG
59,76,frame_000076,neutral,frame_000076.PNG
60,77,frame_000077,neutral,frame_000077.PNG
61,78,frame_000078,neutral,frame_000078.PNG
62,90,frame_000090,neutral,frame_000090.PNG
63,91,frame_000091,neutral,frame_000091.PNG
64,92,frame_000092,neutral,frame_000092.PNG
65,93,frame_000093,neutral,frame_000093.PNG
66,94,frame_000094,neutral,frame_000094.PNG
67,95,frame_000095,neutral,frame_000095.PNG
68,96,frame_000096,neutral,frame_000096.PNG
69,97,frame_000097,neutral,frame_000097.PNG
70,98,frame_000098,neutral,frame_000098.PNG
71,110,frame_000110,neutral,frame_000110.PNG
72,111,frame_000111,neutral,frame_000111.PNG
73,112,frame_000112,neutral,frame_000112.PNG
74,113,frame_000113,neutral,frame_000113.PNG
75,114,frame_000114,neutral,frame_000114.PNG
76,199,frame_000199,negative-deactive,frame_000199.PNG
77,200,frame_000200,negative-deactive,frame_000200.PNG
78,239,frame_000239,positive-deactive,frame_000239.PNG
79,240,frame_000240,positive-deactive,frame_000240.PNG
80,241,frame_000241,positive-deactive,frame_000241.PNG
81,420,frame_000420,negative-deactive,frame_000420.PNG
82,421,frame_000421,negative-deactive,frame_000421.PNG
83,422,frame_000422,negative-deactive,frame_000422.PNG
84,460,frame_000460,negative-deactive,frame_000460.PNG
85,461,frame_000461,negative-deactive,frame_000461.PNG
86,496,frame_000496,neutral,frame_000496.PNG
87,497,frame_000497,neutral,frame_000497.PNG
88,498,frame_000498,negative-active,frame_000498.PNG
89,499,frame_000499,negative-active,frame_000499.PNG
90,500,frame_000500,negative-active,frame_000500.PNG
91,754,frame_000754,negative-deactive,frame_000754.PNG
92,755,frame_000755,negative-deactive,frame_000755.PNG
93,756,frame_000756,negative-deactive,frame_000756.PNG
94,757,frame_000757,negative-deactive,frame_000757.PNG
95,758,frame_000758,negative-deactive,frame_000758.PNG
96,759,frame_000759,negative-deactive,frame_000759.PNG
97,760,frame_000760,negative-deactive,frame_000760.PNG
98,761,frame_000761,negative-deactive,frame_000761.PNG
99,762,frame_000762,negative-deactive,frame_000762.PNG
100,897,frame_000897,negative-active,frame_000897.PNG
101,898,frame_000898,negative-active,frame_000898.PNG
102,899,frame_000899,negative-active,frame_000899.PNG
103,935,frame_000935,negative-active,frame_000935.PNG
104,936,frame_000936,negative-active,frame_000936.PNG
105,937,frame_000937,negative-active,frame_000937.PNG
106,938,frame_000938,negative-active,frame_000938.PNG
107,939,frame_000939,negative-active,frame_000939.PNG
108,940,frame_000940,negative-active,frame_000940.PNG
109,941,frame_000941,negative-active,frame_000941.PNG
110,942,frame_000942,negative-active,frame_000942.PNG
111,943,frame_000943,negative-active,frame_000943.PNG
112,944,frame_000944,negative-active,frame_000944.PNG
113,945,frame_000945,negative-active,frame_000945.PNG
114,946,frame_000946,negative-active,frame_000946.PNG
115,947,frame_000947,negative-active,frame_000947.PNG
116,948,frame_000948,negative-active,frame_000948.PNG
117,949,frame_000949,negative-active,frame_000949.PNG
118,950,frame_000950,negative-active,frame_000950.PNG
119,959,frame_000959,neutral,frame_000959.PNG
120,960,frame_000960,neutral,frame_000960.PNG
121,961,frame_000961,negative-active,frame_000961.PNG
122,962,frame_000962,negative-active,frame_000962.PNG
123,963,frame_000963,negative-active,frame_000963.PNG
124,964,frame_000964,negative-active,frame_000964.PNG
125,965,frame_000965,negative-active,frame_000965.PNG
126,979,frame_000979,negative-deactive,frame_000979.PNG
127,980,frame_000980,negative-deactive,frame_000980.PNG
128,981,frame_000981,negative-deactive,frame_000981.PNG
129,982,frame_000982,negative-deactive,frame_000982.PNG
130,983,frame_000983,negative-deactive,frame_000983.PNG
131,984,frame_000984,negative-deactive,frame_000984.PNG
132,985,frame_000985,negative-deactive,frame_000985.PNG
133,986,frame_000986,negative-deactive,frame_000986.PNG
134,987,frame_000987,negative-deactive,frame_000987.PNG
135,988,frame_000988,negative-deactive,frame_000988.PNG
136,989,frame_000989,negative-deactive,frame_000989.PNG
137,990,frame_000990,negative-deactive,frame_000990.PNG
138,991,frame_000991,negative-deactive,frame_000991.PNG
139,992,frame_000992,negative-deactive,frame_000992.PNG
140,993,frame_000993,negative-deactive,frame_000993.PNG
141,994,frame_000994,negative-deactive,frame_000994.PNG
142,1002,frame_001002,neutral,frame_001002.PNG
143,1003,frame_001003,neutral,frame_001003.PNG
144,1004,frame_001004,neutral,frame_001004.PNG
145,1005,frame_001005,neutral,frame_001005.PNG
146,1006,frame_001006,neutral,frame_001006.PNG
147,1432,frame_001432,negative-deactive,frame_001432.PNG
148,1433,frame_001433,negative-deactive,frame_001433.PNG
149,1434,frame_001434,negative-deactive,frame_001434.PNG
150,1435,frame_001435,negative-deactive,frame_001435.PNG
151,1436,frame_001436,negative-deactive,frame_001436.PNG
152,1437,frame_001437,negative-deactive,frame_001437.PNG
153,1438,frame_001438,negative-deactive,frame_001438.PNG
154,1446,frame_001446,negative-deactive,frame_001446.PNG
155,1447,frame_001447,negative-deactive,frame_001447.PNG
156,1448,frame_001448,negative-deactive,frame_001448.PNG
157,1449,frame_001449,negative-deactive,frame_001449.PNG
158,1450,frame_001450,negative-deactive,frame_001450.PNG
159,1458,frame_001458,negative-deactive,frame_001458.PNG
160,1459,frame_001459,negative-deactive,frame_001459.PNG
161,1460,frame_001460,negative-deactive,frame_001460.PNG
162,1474,frame_001474,positive-active,frame_001474.PNG
163,1475,frame_001475,positive-active,frame_001475.PNG
164,1476,frame_001476,positive-active,frame_001476.PNG
165,1477,frame_001477,positive-active,frame_001477.PNG
166,1478,frame_001478,positive-active,frame_001478.PNG
167,1479,frame_001479,positive-active,frame_001479.PNG
168,1480,frame_001480,positive-active,frame_001480.PNG
169,1481,frame_001481,negative-active,frame_001481.PNG
170,1482,frame_001482,negative-active,frame_001482.PNG
171,1483,frame_001483,negative-active,frame_001483.PNG
172,1484,frame_001484,negative-active,frame_001484.PNG
173,1485,frame_001485,negative-active,frame_001485.PNG
174,1486,frame_001486,negative-active,frame_001486.PNG
175,1487,frame_001487,negative-active,frame_001487.PNG
176,1488,frame_001488,negative-active,frame_001488.PNG
177,1489,frame_001489,negative-active,frame_001489.PNG
178,1490,frame_001490,negative-active,frame_001490.PNG
179,1491,frame_001491,negative-active,frame_001491.PNG
180,1493,frame_001493,positive-deactive,frame_001493.PNG
181,1494,frame_001494,positive-deactive,frame_001494.PNG
182,1495,frame_001495,positive-deactive,frame_001495.PNG
183,1499,frame_001499,negative-active,frame_001499.PNG
184,1500,frame_001500,negative-active,frame_001500.PNG
185,1501,frame_001501,negative-deactive,frame_001501.PNG
186,1502,frame_001502,negative-deactive,frame_001502.PNG
187,1503,frame_001503,negative-deactive,frame_001503.PNG
188,1504,frame_001504,negative-deactive,frame_001504.PNG
189,1505,frame_001505,negative-deactive,frame_001505.PNG
190,1506,frame_001506,negative-deactive,frame_001506.PNG
191,1507,frame_001507,negative-deactive,frame_001507.PNG
192,1508,frame_001508,negative-active,frame_001508.PNG
193,1509,frame_001509,negative-active,frame_001509.PNG
194,1510,frame_001510,negative-active,frame_001510.PNG
195,1511,frame_001511,negative-active,frame_001511.PNG
196,1512,frame_001512,negative-active,frame_001512.PNG
197,1513,frame_001513,negative-active,frame_001513.PNG
198,1514,frame_001514,negative-active,frame_001514.PNG
199,1515,frame_001515,negative-active,frame_001515.PNG
200,1516,frame_001516,negative-active,frame_001516.PNG
201,1517,frame_001517,negative-active,frame_001517.PNG
202,1518,frame_001518,negative-active,frame_001518.PNG
203,1528,frame_001528,negative-active,frame_001528.PNG
204,1529,frame_001529,negative-active,frame_001529.PNG
205,1530,frame_001530,negative-active,frame_001530.PNG
206,1531,frame_001531,negative-active,frame_001531.PNG
207,1532,frame_001532,negative-active,frame_001532.PNG
208,1533,frame_001533,negative-deactive,frame_001533.PNG
209,1534,frame_001534,negative-deactive,frame_001534.PNG
210,1535,frame_001535,negative-deactive,frame_001535.PNG
211,1536,frame_001536,negative-deactive,frame_001536.PNG
212,1537,frame_001537,negative-deactive,frame_001537.PNG
213,1538,frame_001538,negative-deactive,frame_001538.PNG
214,1546,frame_001546,negative-deactive,frame_001546.PNG
215,1547,frame_001547,negative-deactive,frame_001547.PNG
216,1548,frame_001548,negative-deactive,frame_001548.PNG
217,1549,frame_001549,negative-deactive,frame_001549.PNG
218,1550,frame_001550,negative-deactive,frame_001550.PNG
219,1551,frame_001551,negative-deactive,frame_001551.PNG
220,1552,frame_001552,negative-deactive,frame_001552.PNG
221,1560,frame_001560,neutral,frame_001560.PNG
222,1561,frame_001561,neutral,frame_001561.PNG
223,1562,frame_001562,neutral,frame_001562.PNG
224,1563,frame_001563,neutral,frame_001563.PNG
225,1564,frame_001564,neutral,frame_001564.PNG
226,1565,frame_001565,neutral,frame_001565.PNG
227,1566,frame_001566,neutral,frame_001566.PNG
228,1567,frame_001567,neutral,frame_001567.PNG
229,1568,frame_001568,neutral,frame_001568.PNG
230,1569,frame_001569,neutral,frame_001569.PNG
231,1570,frame_001570,neutral,frame_001570.PNG
232,1571,frame_001571,neutral,frame_001571.PNG
233,1572,frame_001572,neutral,frame_001572.PNG
234,1573,frame_001573,neutral,frame_001573.PNG
235,1584,frame_001584,negative-deactive,frame_001584.PNG
236,1585,frame_001585,negative-deactive,frame_001585.PNG
237,1586,frame_001586,negative-deactive,frame_001586.PNG
238,1587,frame_001587,negative-deactive,frame_001587.PNG
239,1588,frame_001588,negative-deactive,frame_001588.PNG
240,1589,frame_001589,negative-deactive,frame_001589.PNG
241,1590,frame_001590,negative-deactive,frame_001590.PNG
242,1591,frame_001591,negative-deactive,frame_001591.PNG
243,1592,frame_001592,negative-deactive,frame_001592.PNG
244,1593,frame_001593,negative-deactive,frame_001593.PNG
245,1670,frame_001670,negative-active,frame_001670.PNG
