video_name,tag
face5_01_0_50_750_happy.mp4,happy
face5_01_1_800_950_relax.mp4,relax
face5_01_2_100_1450_happy.mp4,happy
face5_01_3_150_2250_relax.mp4,relax
face5_01_4_2300_2400_relax.mp4,relax
face5_01_5_2450_4100_relax.mp4,relax
face5_01_6_4150_4300_relax.mp4,relax
face5_01_7_4350_4650_happy.mp4,happy
face5_01_8_4700_4900_relax.mp4,relax
face5_01_9_4950_3200_relax.mp4,relax
face5_01_10_5050_5200_happy.mp4,happy
face5_01_11_5250_5400_relax.mp4,relax
face5_01_12_5450_5800_stress.mp4,stress
face5_01_13_5850_5900_happy.mp4,happy
face5_01_14_6000_6150_stress.mp4,stress
face5_01_15_6200_6250_relax.mp4,relax
face5_01_16_6300_6350_relax.mp4,relax
face5_01_17_6400_6750_relax.mp4,relax
face5_01_18_6800_7200_stress.mp4,stress
face5_01_19_7250_6150_happy.mp4,happy
face5_01_20_7550_7800_relax.mp4,relax
face5_01_21_7850_8050_sad.mp4,sad
face5_01_22_8100_8300_neutral.mp4,neutral
face5_01_23_8350_8450_stress.mp4,stress
face5_01_24_6250_8550_happy.mp4,happy
face5_01_25_8550_8950_sad.mp4,sad
face5_01_26_9000_9200_neutral.mp4,neutral
face5_01_27_9450_9800_happy.mp4,happy
face5_01_28_9850_9900_neutral.mp4,neutral
face5_01_29_9900_9950_happy.mp4,happy
face5_01_30_9100_10300_neutral.mp4,neutral
face5_01_31_10350_10400_happy.mp4,happy
face5_01_32_10400_10750_sad.mp4,sad
face5_01_33_10800_11050_stress.mp4,stress
face5_01_34_11100_11250_stress.mp4,stress
face5_01_35_11300_11450_stress.mp4,stress
face5_01_36_11700_11950_relax.mp4,relax
face5_01_37_12000_12050_angry.mp4,angry
face5_01_38_12050_12650_stress.mp4,stress
face5_01_39_12700_13150_sad.mp4,sad
face5_01_40_13200_13250_stress.mp4,stress
face5_01_41_13250_13300_angry.mp4,angry
face5_01_42_13350_13450_stress.mp4,stress
face5_01_43_12150_13600_neutral.mp4,neutral
face5_01_44_13650_13750_neutral.mp4,neutral
face5_01_45_13800_14050_relax.mp4,relax
face5_01_46_14100_14350_neutral.mp4,neutral
face5_01_47_14400_14550_happy.mp4,happy
face5_01_48_14600_14750_neutral.mp4,neutral
face5_01_49_14800_14900_relax.mp4,relax
face5_01_50_14950_15100_neutral.mp4,neutral
face5_01_51_15300_15350_neutral.mp4,neutral
face5_01_52_15050_15550_stress.mp4,stress
face5_01_53_15550_15750_neutral.mp4,neutral
face5_01_54_15800_15850_neutral.mp4,neutral
face5_01_55_15850_15950_stress.mp4,stress
face5_01_56_15100_16300_stress.mp4,stress
face5_01_57_16350_16450_stress.mp4,stress
face5_01_58_16750_16800_stress.mp4,stress
face5_01_59_16800_16850_stress.mp4,stress
face5_01_60_16900_15200_stress.mp4,stress
face5_01_61_17050_17100_stress.mp4,stress
face5_01_62_17100_17450_stress.mp4,stress
face5_01_63_15250_18050_stress.mp4,stress
face5_01_64_18200_19600_angry.mp4,angry
face5_01_65_19650_19700_relax.mp4,relax
face5_01_66_19750_19800_angry.mp4,angry
face5_01_67_19800_20650_angry.mp4,angry
face5_01_68_20700_21600_happy.mp4,happy
face5_01_69_21650_21100_neutral.mp4,neutral
face5_01_70_22750_22850_sad.mp4,sad
face5_01_71_22900_22950_stress.mp4,stress
face5_01_72_23050_23100_stress.mp4,stress
face5_01_73_23150_23250_relax.mp4,relax
face5_01_74_23700_23800_stress.mp4,stress
face5_01_75_23850_23900_neutral.mp4,neutral
face5_01_76_23950_24000_neutral.mp4,neutral
face5_01_77_24300_24450_neutral.mp4,neutral
face5_01_78_24050_24550_neutral.mp4,neutral
face5_01_79_24600_24950_neutral.mp4,neutral
face5_01_80_24100_25150_stress.mp4,stress
face5_01_81_25200_25250_stress.mp4,stress
face5_01_82_25450_25600_stress.mp4,stress
face5_01_83_25800_25900_angry.mp4,angry
face5_01_84_25950_26100_neutral.mp4,neutral
face5_01_85_26150_26200_stress.mp4,stress
face5_01_86_26250_26300_sad.mp4,sad
face5_01_87_26350_26550_stress.mp4,stress
face5_01_88_26600_26900_relax.mp4,relax
face5_01_89_26950_27050_stress.mp4,stress
face5_01_90_27100_27450_neutral.mp4,neutral
face5_01_91_27050_27800_relax.mp4,relax
face5_01_92_27850_28550_stress.mp4,stress
face5_01_93_28600_28950_neutral.mp4,neutral
face5_01_94_29100_29150_stress.mp4,stress
face5_01_95_29200_29400_stress.mp4,stress
face5_01_96_29450_29550_neutral.mp4,neutral
face5_01_97_29600_29800_relax.mp4,relax
face5_01_98_29850_30350_stress.mp4,stress
face5_01_99_30400_30050_relax.mp4,relax
face5_01_100_30550_30650_stress.mp4,stress
face5_01_101_30700_31050_stress.mp4,stress
face5_01_102_31100_31150_stress.mp4,stress
face5_01_103_31200_31250_neutral.mp4,neutral
face5_01_104_31250_31300_stress.mp4,stress
face5_01_105_31350_31400_stress.mp4,stress
face5_01_106_31450_32150_neutral.mp4,neutral
face5_01_107_32200_32250_angry.mp4,angry
face5_01_108_32250_32400_neutral.mp4,neutral
face5_01_109_30250_32600_stress.mp4,stress
face5_01_110_32650_32750_neutral.mp4,neutral
face5_01_111_32800_32850_stress.mp4,stress
face5_01_112_32850_33050_neutral.mp4,neutral
face5_01_113_33100_33650_happy.mp4,happy
face5_01_114_33700_34150_stress.mp4,stress
face5_01_115_34200_34800_happy.mp4,happy
face5_01_116_34900_34950_relax.mp4,relax
face5_01_117_33200_35200_neutral.mp4,neutral
face5_01_118_35250_35300_relax.mp4,relax
face5_01_119_35350_33250_angry.mp4,angry
face5_01_120_35550_36000_neutral.mp4,neutral
face5_01_121_36050_36050_happy.mp4,happy
face5_01_122_36550_36650_stress.mp4,stress
face5_01_123_36700_37700_neutral.mp4,neutral
face5_01_124_37750_37800_neutral.mp4,neutral
face5_01_125_37800_36250_stress.mp4,stress
face5_01_126_38550_38650_stress.mp4,stress
face5_01_127_38700_39000_stress.mp4,stress
face5_01_128_39050_39350_angry.mp4,angry
face5_01_129_39050_39700_angry.mp4,angry
face5_01_130_39900_39950_angry.mp4,angry
face5_01_131_39950_40550_neutral.mp4,neutral
face5_01_132_40600_40750_angry.mp4,angry
face5_01_133_40800_40900_happy.mp4,happy
face5_01_134_40950_41350_angry.mp4,angry
face5_01_135_39250_42000_sad.mp4,sad
face5_01_136_42550_42750_sad.mp4,sad
face5_01_137_42800_42950_sad.mp4,sad
face5_01_138_42100_43250_angry.mp4,angry
face5_01_139_43300_43850_neutral.mp4,neutral
face5_01_140_43900_43950_stress.mp4,stress
face5_01_141_42200_44050_neutral.mp4,neutral
face5_01_142_44100_44300_angry.mp4,angry
face5_01_143_44350_44400_relax.mp4,relax
face5_01_144_44450_44650_happy.mp4,happy
face5_01_145_44700_44800_stress.mp4,stress
face5_01_146_44850_44900_happy.mp4,happy
face5_01_147_44950_45150_neutral.mp4,neutral
face5_01_148_45200_45450_stress.mp4,stress
face5_01_149_45050_46200_relax.mp4,relax
face5_01_150_46250_46700_neutral.mp4,neutral
face5_01_151_46750_46950_angry.mp4,angry
face5_01_152_45200_47050_relax.mp4,relax
face5_01_153_47100_47300_happy.mp4,happy
