,Time,time_start,time_end,label
0,0.22 - 0.24,0.22,0.24,neutral
1,0.25 - 0.31,0.25,0.31,neutral
2,0.32 - 0.40,0.32,0.41,มีความสุข
3,0.47 - 1.11,0.47,1.11,neutral
4,1.12 - 1.17,1.12,1.17,neutral
5,1.18 - 1.20,1.18,1.21,เครียด
6,1.28 - 1.30,1.28,1.31,neutral
7,1.37 - 1.39,1.37,1.39,มีความสุข
8,1.40 - 1.42,1.4,1.42,มีความสุข
9,1.43-1.45,1.43,1.45,เครียด
10,1.46-1.50,1.46,1.51,neutral
11,1.51-1.59,1.51,1.59,neutral
12,2.00-2.09,2.0,2.09,มีความสุข
13,2.10-2.12,2.1,2.12,neutral
14,2.13 - 2.15,2.13,2.15,เครียด
15,2.16-2.20,2.16,2.21,เครียด
16,2.21-2.23,2.21,2.23,neutral
17,2.24 - 2.29,2.24,2.29,มีความสุข
18,2.30 - 2.32,2.3,2.32,มีความสุข
19,2.33-2.40,2.33,2.41,มีความสุข
20,2.41-2.43,2.41,2.43,neutral
21,2.44-2.58,2.44,2.58,มีความสุข
22,2.59-3.01,2.59,3.01,มีความสุข
23,3.02-3.12,3.02,3.12,มีความสุข
24,3.13-3.15,3.13,3.15,neutral
25,3.16-3.17,3.16,3.17,มีความสุข
26,3.18-3.19,3.18,3.19,neutral
27,3.20 - 3.30,3.2,3.3,มีความสุข
28,3.31-3.32,3.31,3.32,โกรธ
29,3.37-3.40,3.37,3.41,โกรธ
30,3.41-3.46,3.41,3.46,ผ่อนคลาย
31,3.47 - 3.53,3.47,3.53,มีความสุข
32,3.54 - 4.05,3.54,4.05,มีความสุข
33,4.06-4.08,4.06,4.08,neutral
34,4.09-4.11,4.09,4.11,neutral
35,4.12-4.13,4.12,4.13,ผ่อนคลาย
36,4.14-4.16,4.14,4.16,ผ่อนคลาย
37,4.17-4.21,4.17,4.21,neutral
38,4.22-4.23,4.22,4.23,มีความสุข
39,4.29-4.34,4.29,4.34,neutral
40,4.35-4.36,4.35,4.36,มีความสุข
41,4.37-4.41,4.37,4.41,neutral
42,4.42-4.44,4.42,4.44,ผ่อนคลาย
43,4.45-4.46,4.45,4.46,โกรธ
44,4.47-4.56,4.47,4.56,neutral
45,4.57-4.59,4.57,4.59,ผ่อนคลาย
46,5.16-5.25,5.16,5.25,neutral
47,5.26-5.27,5.26,5.27,ผ่อนคลาย
48,5.28-5.29,5.28,5.29,neutral
49,5.30-3.37,5.3,5.37,โกรธ
50,3.38-3.41,3.38,3.41,neutral
51,5.47 - 5.49,5.47,5.49,โกรธ
52,6.08-6.14,6.08,6.14,โกรธ
53,6.15-6.19,6.15,6.19,โกรธ
54,6.20-6.30,6.2,6.3,ผ่อนคลาย
55,6.38 - 6.43,6.38,6.43,มีความสุข
56,6.44-6.49,6.44,6.49,neutral
57,6.50-6.56,6.5,6.56,ผ่อนคลาย
58,6.57-6.59,6.57,6.59,neutral
