,video,time_start,time_end,label
0,face9_1,0.14,0.15,neutral
1,face9_1,0.25,0.31,neutral
2,face9_1,0.56,0.57,happy
3,face9_1,0.58,1.06,relax
4,face9_1,1.07,1.12,neutral
5,face9_1,1.03,1.32,neutral
6,face9_1,1.33,1.39,happy
7,face9_1,1.04,1.43,neutral
8,face9_1,2.04,2.15,neutral
9,face9_1,2.16,2.49,happy
10,face9_1,2.05,2.59,neutral
11,face9_1,3.0,3.03,happy
12,face9_1,3.04,3.15,neutral
13,face9_1,3.16,3.19,happy
14,face9_1,3.24,3.37,neutral
15,face9_1,3.38,3.51,relax
16,face9_1,3.52,4.26,neutral
17,face9_1,4.27,4.31,happy
18,face9_1,4.31,4.34,relax
19,face9_1,4.41,4.53,neutral
20,face9_1,4.58,5.05,neutral
21,face9_1,5.06,5.13,relax
22,face9_1,5.14,5.17,neutral
23,face9_1,5.18,5.26,relax
24,face9_1,5.27,5.28,neutral
25,face9_1,5.29,5.42,relax
26,face9_1,5.43,5.46,neutral
27,face9_1,5.47,6.0,relax
28,face9_1,6.03,6.13,happy
