,video,time_start,time_end,label
0,face6_02,0.13,0.14,neutral
1,face6_02,0.14,0.18,relax
2,face6_02,0.19,0.23,happy
3,face6_02,0.24,0.25,happy
4,face6_02,0.26,0.27,relax
5,face6_02,0.27,0.29,neutral
6,face6_02,0.03,0.31,neutral
7,face6_02,0.32,0.35,relax
8,face6_02,0.36,0.41,happy
9,face6_02,0.41,0.43,happy
10,face6_02,0.44,0.54,relax
11,face6_02,0.55,0.59,happy
12,face6_02,1.0,1.07,relax
13,face6_02,1.16,1.18,happy
14,face6_02,1.19,1.21,relax
15,face6_02,1.22,1.23,relax
16,face6_02,1.24,1.25,neutral
17,face6_02,1.26,1.27,neutral
18,face6_02,1.27,1.35,stress
19,face6_02,1.36,1.37,stress
20,face6_02,1.38,1.39,stress
21,face6_02,1.04,1.41,neutral
22,face6_02,1.42,1.43,happy
23,face6_02,1.43,1.46,neutral
24,face6_02,1.47,1.59,happy
25,face6_02,2.0,2.08,happy
26,face6_02,2.08,2.09,relax
27,face6_02,2.01,2.19,neutral
28,face6_02,2.02,2.25,stress
29,face6_02,2.26,2.34,neutral
30,face6_02,2.35,2.41,happy
31,face6_02,2.41,2.47,stress
32,face6_02,2.48,3.03,sad
33,face6_02,3.09,3.14,neutral
34,face6_02,3.15,3.16,neutral
35,face6_02,3.17,3.21,relax
36,face6_02,3.21,3.23,neutral
37,face6_02,3.24,3.29,happy
38,face6_02,3.03,3.31,neutral
39,face6_02,3.32,3.35,stress
40,face6_02,3.36,3.37,relax
41,face6_02,3.37,3.39,neutral
42,face6_02,3.04,3.47,relax
43,face6_02,3.48,3.51,relax
44,face6_02,3.51,3.55,sad
45,face6_02,3.58,4.01,relax
46,face6_02,4.11,4.16,happy
47,face6_02,4.18,4.21,stress
48,face6_02,4.22,4.24,angry
49,face6_02,4.25,4.26,neutral
50,face6_02,4.26,4.32,sad
51,face6_02,4.33,4.34,happy
52,face6_02,4.34,4.37,happy
53,face6_02,4.38,4.43,happy
54,face6_02,4.44,4.51,neutral
55,face6_02,4.52,4.53,stress
56,face6_02,4.54,4.55,stress
57,face6_02,4.56,4.57,neutral 
58,face6_02,4.57,5.03,neutral 
59,face6_02,5.04,5.06,relax
60,face6_02,5.07,5.12,stress
61,face6_02,5.13,5.21,relax
62,face6_02,5.24,5.26,neutral
63,face6_02,5.27,5.31,happy
64,face6_02,5.32,5.35,stress
65,face6_02,5.36,5.38,neutral
66,face6_02,5.39,5.42,stress
67,face6_02,5.43,5.48,relax
68,face6_02,5.49,5.52,stress
69,face6_02,5.53,5.54,stress
70,face6_02,5.54,5.55,neutral
71,face6_02,5.55,5.58,relax
72,face6_02,5.59,6.02,neutral
73,face6_02,6.03,6.07,happy
74,face6_02,6.07,6.08,happy
75,face6_02,6.14,6.17,stress
76,face6_02,6.18,6.28,sad
77,face6_02,6.29,6.33,neutral
78,face6_02,6.34,6.41,neutral
79,face6_02,6.42,6.44,neutral
80,face6_02,6.45,6.47,stress
81,face6_02,6.48,6.51,happy
82,face6_02,6.51,6.53,happy
83,face6_02,6.54,6.56,happy
84,face6_02,6.57,7.08,neutral
85,face6_02,7.09,7.11,relax
86,face6_02,7.11,7.15,relax
87,face6_02,7.16,7.17,neutral
88,face6_02,7.18,7.19,relax
89,face6_02,7.19,7.21,happy
90,face6_02,7.21,7.22,relax
91,face6_02,7.22,7.23,relax
92,face6_02,7.24,7.26,relax
93,face6_02,7.27,7.31,neutral
94,face6_02,7.32,7.33,relax
95,face6_02,7.34,7.38,relax
96,face6_02,7.39,7.42,happy
97,face6_02,7.43,7.45,relax
98,face6_02,7.46,7.48,neutral
99,face6_02,7.49,7.51,relax
100,face6_02,7.5,7.51,neutral
101,face6_02,7.51,7.52,neutral
102,face6_02,7.53,7.54,stress
103,face6_02,7.54,7.58,happy
104,face6_02,8.03,8.06,relax
105,face6_02,8.07,8.21,relax
106,face6_02,8.22,8.23,relax
107,face6_02,8.23,8.29,neutral
108,face6_02,8.03,8.36,neutral
109,face6_02,8.37,8.41,relax
110,face6_02,8.41,8.43,stress
111,face6_02,8.44,8.49,neutral
112,face6_02,8.05,8.52,relax
113,face6_02,8.53,8.59,neutral
114,face6_02,9.0,9.01,neutral
115,face6_02,9.01,9.03,neutral
116,face6_02,9.04,9.05,stress
117,face6_02,9.06,9.08,neutral
118,face6_02,9.09,9.19,relax
119,face6_02,9.02,9.22,neutral
120,face6_02,9.23,9.26,angry
121,face6_02,9.27,9.38,neutral
122,face6_02,9.39,9.42,stress
123,face6_02,9.43,9.45,happy
124,face6_02,9.46,9.52,neutral
125,face6_02,9.53,9.58,stress
126,face6_02,9.59,10.05,neutral
127,face6_02,10.06,10.11,stress
128,face6_02,10.12,10.17,neutral
129,face6_02,10.18,10.27,relax
130,face6_02,10.28,10.33,happy
131,face6_02,10.34,10.35,relax
132,face6_02,10.36,10.41,happy
133,face6_02,10.41,10.44,relax
134,face6_02,10.45,10.48,happy
135,face6_02,10.49,10.51,relax
136,face6_02,10.52,11.02,neutral
137,face6_02,11.03,11.21,relax
138,face6_02,11.22,11.26,happy
139,face6_02,11.27,11.31,happy
140,face6_02,11.31,11.32,stress
141,face6_02,11.33,11.36,stress
142,face6_02,11.37,11.39,neutral
143,face6_02,11.04,11.53,stress
144,face6_02,11.54,11.55,neutral
145,face6_02,11.55,12.02,sad
146,face6_02,12.03,12.04,relax
147,face6_02,12.05,12.06,happy
148,face6_02,12.07,12.16,neutral
149,face6_02,12.17,12.18,sad
150,face6_02,12.19,12.21,neutral
151,face6_02,12.21,12.25,neutral
152,face6_02,12.26,12.27,sad
153,face6_02,12.27,12.29,neutral
154,face6_02,12.03,12.31,stress
155,face6_02,12.32,12.33,stress
156,face6_02,12.34,12.44,neutral
157,face6_02,12.45,12.48,neutral
158,face6_02,12.49,12.52,neutral
159,face6_02,12.53,12.59,happy
160,face6_02,13.0,13.01,neutral
161,face6_02,13.02,13.11,neutral
162,face6_02,13.12,13.16,relax
163,face6_02,13.17,13.21,neutral
164,face6_02,13.25,13.33,stress
165,face6_02,13.34,13.36,stress
166,face6_02,13.37,13.39,stress
167,face6_02,13.04,13.58,stress
168,face6_02,13.59,14.07,happy
169,face6_02,14.16,14.17,neutral
170,face6_02,14.18,14.41,sad
171,face6_02,14.41,14.42,neutral
172,face6_02,14.43,14.51,neutral
173,face6_02,14.52,14.53,neutral
174,face6_02,14.54,15.02,happy
175,face6_02,15.03,15.08,sad
176,face6_02,15.09,15.17,neutral
177,face6_02,15.18,15.21,neutral
178,face6_02,15.22,15.23,stress
179,face6_02,15.23,15.28,relax
180,face6_02,15.29,15.31,neutral
181,face6_02,15.31,15.37,sad
182,face6_02,15.38,16.07,happy
183,face6_02,16.08,16.13,stress
184,face6_02,16.14,16.31,happy
185,face6_02,16.31,16.32,happy
186,face6_02,16.34,16.42,happy
187,face6_02,18.02,18.31,happy
188,face6_02,18.32,18.51,relax
189,face6_02,18.52,19.0,stress
190,face6_02,19.04,19.14,relax
191,face6_02,19.15,19.21,relax
192,face6_02,19.22,19.27,neutral
193,face6_02,19.28,19.31,neutral
194,face6_02,19.32,19.35,angry
195,face6_02,19.38,19.43,neutral
196,face6_02,19.44,19.51,neutral
197,face6_02,19.51,19.54,relax
198,face6_02,19.55,19.56,stress
199,face6_02,19.57,19.58,relax
200,face6_02,19.58,20.28,neutral
201,face6_02,20.29,20.31,happy
202,face6_02,20.31,20.39,relax
203,face6_02,20.04,20.49,neutral
204,face6_02,20.05,20.56,neutral
205,face6_02,20.57,20.58,stress
206,face6_02,20.59,21.02,relax
207,face6_02,21.03,21.11,happy
208,face6_02,21.11,21.13,relax
209,face6_02,21.14,21.21,happy
210,face6_02,21.22,21.26,neutral
211,face6_02,21.27,21.29,neutral
212,face6_02,21.03,21.31,neutral
213,face6_02,21.32,21.33,neutral
214,face6_02,21.34,21.35,neutral
215,face6_02,21.35,21.37,sad
216,face6_02,21.38,21.39,happy
217,face6_02,21.04,21.52,neutral
218,face6_02,21.53,21.57,relax
219,face6_02,21.58,21.59,happy
220,face6_02,22.18,22.22,neutral
221,face6_02,22.23,22.32,relax
222,face6_02,22.33,22.48,neutral
223,face6_02,22.49,22.56,relax
224,face6_02,22.57,23.04,sad
225,face6_02,23.05,23.06,relax
226,face6_02,23.07,23.24,happy
227,face6_02,23.25,23.32,relax
