,video,time_start,time_end,label
0,face10_02,0.0,0.06,happy
1,face10_02,0.09,0.11,happy
2,face10_02,0.11,0.13,happy
3,face10_02,0.25,0.26,neutral
4,face10_02,0.27,0.28,relax
5,face10_02,0.29,0.31,happy
6,face10_02,0.31,0.36,stress
7,face10_02,0.35,0.36,stress
8,face10_02,0.38,0.41,neutral
9,face10_02,0.41,0.42,neutral
10,face10_02,0.43,0.51,relax
11,face10_02,0.51,0.52,happy
12,face10_02,0.54,0.56,happy
13,face10_02,0.57,1.09,neutral
14,face10_02,1.01,1.11,neutral
15,face10_02,1.12,1.16,neutral
16,face10_02,1.19,1.22,relax
17,face10_02,1.23,1.25,happy
18,face10_02,1.26,1.32,happy
19,face10_02,1.33,1.41,neutral
20,face10_02,1.44,1.46,happy
21,face10_02,1.05,2.01,happy
22,face10_02,2.04,2.05,happy
23,face10_02,2.06,2.07,neutral
24,face10_02,2.08,2.14,neutral
25,face10_02,2.28,2.35,happy
26,face10_02,2.36,2.37,happy
27,face10_02,2.38,2.41,happy
28,face10_02,2.42,2.43,neutral
29,face10_02,2.46,2.48,happy
30,face10_02,2.49,2.56,neutral
31,face10_02,2.57,3.08,relax
32,face10_02,3.07,3.09,happy
33,face10_02,3.01,3.14,relax
34,face10_02,3.15,3.17,relax
35,face10_02,3.18,3.19,happy
36,face10_02,3.02,3.22,happy
37,face10_02,3.23,3.25,happy
38,face10_02,3.26,3.28,happy
39,face10_02,3.29,3.31,happy
40,face10_02,3.33,3.35,neutral
41,face10_02,3.04,3.43,stress
42,face10_02,3.45,3.49,neutral
43,face10_02,3.53,3.59,stress
44,face10_02,4.0,4.01,stress
45,face10_02,4.02,4.05,happy
46,face10_02,4.06,4.12,angry
47,face10_02,4.14,4.23,angry
48,face10_02,4.24,4.28,neutral
49,face10_02,4.31,4.38,neutral
50,face10_02,4.39,4.47,happy
51,face10_02,4.48,4.51,happy
52,face10_02,4.58,5.01,neutral
53,face10_02,5.02,5.16,angry
54,face10_02,5.17,5.21,happy
55,face10_02,5.21,5.29,neutral
56,face10_02,5.03,5.04,happy
57,face10_02,5.41,5.52,sad
58,face10_02,5.53,5.56,happy
59,face10_02,5.57,6.06,happy
60,face10_02,6.07,6.11,happy
61,face10_02,6.13,6.17,relax
62,face10_02,6.18,6.22,neutral
63,face10_02,6.23,6.28,stress
64,face10_02,6.29,6.41,stress
65,face10_02,6.42,6.43,happy
66,face10_02,6.44,6.52,stress
67,face10_02,6.53,6.54,happy
68,face10_02,6.55,7.19,happy
69,face10_02,7.02,7.29,neutral
70,face10_02,7.35,7.38,neutral
71,face10_02,7.39,7.42,happy
72,face10_02,7.43,7.54,neutral
73,face10_02,7.55,7.59,stress
74,face10_02,8.0,8.02,relax
75,face10_02,8.03,8.07,angry
76,face10_02,8.08,8.11,angry
77,face10_02,8.11,8.15,neutral
78,face10_02,8.02,8.26,angry
79,face10_02,8.27,8.31,angry
80,face10_02,8.31,8.38,neutral
81,face10_02,8.39,8.52,angry
82,face10_02,8.53,9.12,angry
83,face10_02,9.13,9.14,happy
84,face10_02,9.15,9.22,angry
85,face10_02,9.23,9.24,happy
86,face10_02,9.25,9.28,happy
87,face10_02,9.29,9.36,angry
88,face10_02,9.37,9.42,happy
89,face10_02,9.42,9.44,happy
90,face10_02,9.54,10.09,angry
91,face10_02,10.01,10.11,happy
92,face10_02,10.12,10.15,relax
93,face10_02,10.16,10.17,happy
94,face10_02,10.18,10.19,angry
95,face10_02,10.02,10.28,stress
96,face10_02,10.29,10.31,happy
97,face10_02,10.32,10.41,relax
98,face10_02,10.42,10.45,neutral
99,face10_02,10.55,11.02,angry
100,face10_02,11.06,11.09,angry
101,face10_02,11.01,11.12,relax
102,face10_02,11.13,11.14,happy
103,face10_02,11.15,11.25,stress
104,face10_02,11.26,11.36,happy
105,face10_02,11.37,11.44,neutral
106,face10_02,11.45,11.48,sad
107,face10_02,11.49,11.59,stress
108,face10_02,12.13,12.15,happy
