,video,time_start,time_end,label
0,face7_01,0.0,0.01,happy
1,face7_01,0.11,0.15,stress
2,face7_01,0.16,0.17,neutral
3,face7_01,0.22,0.29,happy
4,face7_01,0.32,0.33,neutral
5,face7_01,0.34,0.36,neutral
6,face7_01,0.37,0.41,neutral
7,face7_01,0.42,0.43,happy
8,face7_01,0.48,0.55,stress
9,face7_01,0.56,0.57,neutral
10,face7_01,0.58,1.0,neutral
11,face7_01,1.01,1.02,stress
12,face7_01,1.03,1.05,stress
13,face7_01,1.06,1.14,neutral
14,face7_01,1.15,1.16,happy
15,face7_01,1.17,1.18,neutral
16,face7_01,1.19,1.22,happy
17,face7_01,1.27,1.29,relax
18,face7_01,1.03,1.32,stress
19,face7_01,1.33,1.39,neutral
20,face7_01,1.44,1.48,stress
21,face7_01,1.49,1.51,stress
22,face7_01,1.51,1.54,happy
23,face7_01,1.58,2.0,happy
24,face7_01,2.03,2.06,happy
25,face7_01,2.11,2.17,stress
26,face7_01,2.02,2.21,happy
27,face7_01,2.25,2.29,relax
28,face7_01,2.03,2.31,happy
29,face7_01,2.32,2.36,stress
30,face7_01,2.39,2.47,neutral
31,face7_01,2.48,2.49,stress
32,face7_01,2.05,2.52,happy
33,face7_01,2.53,2.54,stress
34,face7_01,2.55,2.56,stress
35,face7_01,2.57,3.02,stress
36,face7_01,3.03,3.18,neutral
37,face7_01,3.21,3.23,neutral
38,face7_01,3.24,3.25,stress
39,face7_01,3.29,3.31,neutral
40,face7_01,3.34,3.36,neutral
41,face7_01,3.04,3.41,happy
42,face7_01,3.42,3.46,happy
43,face7_01,3.47,3.49,neutral
44,face7_01,3.05,3.53,stress
45,face7_01,3.54,3.55,stress
46,face7_01,3.56,3.59,neutral
47,face7_01,4.0,4.03,stress
48,face7_01,4.04,4.05,relax
49,face7_01,4.06,4.09,stress
50,face7_01,4.01,4.11,neutral
51,face7_01,4.12,4.13,neutral
52,face7_01,4.14,4.22,stress
53,face7_01,4.23,4.43,stress
54,face7_01,4.44,4.49,happy
