,video,time_start,time_end,label
0,face9_3,0.18,0.24,neutral
1,face9_3,0.25,0.31,relax
2,face9_3,0.36,0.41,relax
3,face9_3,0.41,0.49,relax
4,face9_3,0.05,0.52,relax
5,face9_3,0.53,0.58,neutral
6,face9_3,1.06,1.16,neutral
7,face9_3,1.17,1.18,neutral
8,face9_3,1.19,1.33,neutral
9,face9_3,1.34,1.38,stress
10,face9_3,1.46,1.47,relax
11,face9_3,1.48,1.49,relax
12,face9_3,1.59,2.0,relax
13,face9_3,2.01,2.34,relax
14,face9_3,2.35,2.38,happy
15,face9_3,2.39,2.41,neutral
16,face9_3,2.42,2.44,happy
17,face9_3,2.56,3.06,stress
18,face9_3,3.07,3.08,stress
19,face9_3,3.09,3.13,stress
20,face9_3,3.14,3.15,stress
21,face9_3,3.17,3.19,neutral
22,face9_3,3.03,3.43,stress
23,face9_3,3.44,3.49,happy
24,face9_3,3.05,4.03,neutral
25,face9_3,4.04,4.05,relax
26,face9_3,4.06,4.07,happy
