,video,time_start,time_end,label
0,face9_2,0.12,0.24,relax
1,face9_2,0.25,0.27,relax
2,face9_2,0.41,0.47,neutral
3,face9_2,0.48,1.07,stress
4,face9_2,1.08,1.28,relax
5,face9_2,1.34,2.0,happy
6,face9_2,2.09,2.14,relax
7,face9_2,2.15,2.17,happy
8,face9_2,2.18,2.22,happy
9,face9_2,2.29,2.31,relax
10,face9_2,2.32,2.35,happy
11,face9_2,2.36,2.38,relax
12,face9_2,2.39,2.48,happy
13,face9_2,3.08,3.11,relax
14,face9_2,3.12,3.43,neutral
15,face9_2,3.44,3.45,stress
16,face9_2,3.46,3.57,neutral
17,face9_2,3.58,4.0,relax
18,face9_2,4.07,4.11,neutral
19,face9_2,4.23,4.28,relax
20,face9_2,4.29,4.32,happy
