,Time,time_start,time_end,label
0,1.26 - 1.29,1.26,1.29,เครียด
1,2.06 - 2.19,2.06,2.19,เศร้า
2,2.20-2.38,2.2,2.38,เครียด
3,3.41-3.43,3.41,3.43,เครียด
4,2.54 - 3.01,2.54,3.01,neutral
5,3.02-3.09,3.02,3.09,neutral
6,3.15 - 3.18,3.15,3.18,neutral
7,3.30 - 3.34,3.3,3.34,เครียด
8,4.03 - 4.08,4.03,4.08,เครียด
9,4.16 - 4.22,4.16,4.22,neutral
10,4.33 - 4.55,4.33,4.55,เครียด
11,5.04 - 5.12,5.04,5.12,neutral
12,5.23 - 5.24,5.23,5.24,neutral
13,5.25-5.38,5.25,5.38,neutral
14,5.31-5.38,5.31,5.38,เครียด
15,5.39 - 5.41,5.39,5.41,ผ่อนคลาย
16,5.47 - 5.55,5.47,5.55,neutral
17,6.27 - 6.37,6.27,6.37,เศร้า
18,6.38-6.40,6.38,6.41,เศร้า
19,6.41-6.47,6.41,6.47,มีความสุข
20,6.48 - 6.50,6.48,6.51,เศร้า
21,6.51-6.52,6.51,6.52,มีความสุข
