,video,time_start,time_end,label
0,face10_01,0.0,0.04,sad
1,face10_01,0.05,0.09,sad
2,face10_01,0.01,0.15,sad
3,face10_01,0.27,0.33,neutral
4,face10_01,0.38,0.41,stress
5,face10_01,0.57,0.58,relax
6,face10_01,0.59,1.01,happy
7,face10_01,1.02,1.07,neutral
8,face10_01,1.08,1.14,neutral
9,face10_01,1.15,1.16,neutral
10,face10_01,1.17,1.25,neutral
11,face10_01,1.26,1.32,neutral
12,face10_01,1.33,1.35,neutral
13,face10_01,2.01,2.15,angry
14,face10_01,2.25,2.31,stress
15,face10_01,2.36,2.41,stress
16,face10_01,3.01,3.07,neutral
17,face10_01,3.08,3.11,neutral
18,face10_01,3.25,3.36,stress
19,face10_01,3.37,3.42,stress
20,face10_01,3.46,3.57,stress
21,face10_01,3.55,3.58,stress
22,face10_01,3.58,3.59,relax
23,face10_01,4.13,4.14,neutral
24,face10_01,4.36,4.39,neutral
25,face10_01,4.04,4.43,neutral
26,face10_01,4.49,4.53,angry
27,face10_01,4.55,4.56,neutral
28,face10_01,4.57,5.0,neutral
29,face10_01,5.0,5.01,relax
30,face10_01,5.02,5.11,neutral
31,face10_01,5.16,5.18,neutral
32,face10_01,5.19,5.21,sad
33,face10_01,5.25,5.26,happy
34,face10_01,6.13,6.14,relax
35,face10_01,6.02,6.23,relax
36,face10_01,6.24,6.28,relax
37,face10_01,6.29,6.31,happy
38,face10_01,6.32,6.35,neutral
39,face10_01,6.39,6.41,relax
40,face10_01,6.41,6.46,relax
41,face10_01,6.47,6.48,relax
42,face10_01,6.49,6.51,relax
43,face10_01,6.51,6.53,neutral
44,face10_01,7.03,7.04,stress
45,face10_01,7.05,7.07,neutral
46,face10_01,7.08,7.15,angry
47,face10_01,7.16,7.19,angry
48,face10_01,7.32,7.37,neutral
49,face10_01,7.52,8.04,neutral
50,face10_01,8.09,8.13,stress
51,face10_01,8.25,8.26,stress
52,face10_01,8.41,8.43,stress
53,face10_01,8.44,8.45,stress
54,face10_01,8.46,8.49,happy
55,face10_01,8.05,8.52,relax
56,face10_01,9.13,9.16,relax
57,face10_01,9.17,9.18,sad
58,face10_01,9.19,9.22,happy
59,face10_01,9.38,9.41,angry
60,face10_01,10.08,10.11,stress
61,face10_01,10.26,10.33,stress
62,face10_01,10.43,11.45,happy
63,face10_01,10.46,11.51,happy
64,face10_01,10.52,10.57,happy
65,face10_01,10.58,11.04,happy
66,face10_01,11.05,11.12,happy
67,face10_01,11.13,11.21,happy
68,face10_01,11.26,11.31,happy
69,face10_01,11.32,11.34,happy
70,face10_01,11.35,11.37,happy
71,face10_01,11.38,11.41,sad
72,face10_01,11.42,12.05,sad
73,face10_01,12.11,12.13,neutral
74,face10_01,12.28,12.32,happy
75,face10_01,12.33,12.39,neutral
76,face10_01,12.45,12.46,happy
77,face10_01,12.54,13.04,angry
78,face10_01,13.08,13.11,stress
79,face10_01,13.16,13.22,stress
80,face10_01,13.28,13.32,stress
81,face10_01,13.36,13.41,stress
82,face10_01,14.0,14.11,stress
83,face10_01,14.03,14.05,stress
84,face10_01,14.12,14.16,relax
85,face10_01,14.17,14.21,happy
86,face10_01,14.22,14.38,sad
87,face10_01,14.39,14.48,sad
88,face10_01,14.49,14.51,happy
89,face10_01,14.52,14.53,happy
90,face10_01,17.55,18.02,neutral
