,label_data_team,img_url_data_team,label_psy_team,img_url_psy_team,,pred
frame_000000.PNG,4,frame_000000.PNG,3,frame_000000.PNG,,3
frame_000001.PNG,4,frame_000001.PNG,3,frame_000001.PNG,,3
frame_000002.PNG,4,frame_000002.PNG,3,frame_000002.PNG,,3
frame_000003.PNG,3,frame_000003.PNG,3,frame_000003.PNG,,1
frame_000004.PNG,3,frame_000004.PNG,3,frame_000004.PNG,,3
frame_000005.PNG,3,frame_000005.PNG,3,frame_000005.PNG,,1
frame_000006.PNG,3,frame_000006.PNG,3,frame_000006.PNG,,3
frame_000007.PNG,3,frame_000007.PNG,3,frame_000007.PNG,,1
frame_000009.PNG,1,frame_000009.PNG,3,frame_000009.PNG,,3
frame_000010.PNG,1,frame_000010.PNG,3,frame_000010.PNG,,3
frame_000011.PNG,1,frame_000011.PNG,3,frame_000011.PNG,,3
frame_000012.PNG,1,frame_000012.PNG,3,frame_000012.PNG,,3
frame_000013.PNG,1,frame_000013.PNG,3,frame_000013.PNG,,3
frame_000014.PNG,1,frame_000014.PNG,3,frame_000014.PNG,,3
frame_000015.PNG,1,frame_000015.PNG,3,frame_000015.PNG,,3
frame_000016.PNG,1,frame_000016.PNG,3,frame_000016.PNG,,3
frame_000017.PNG,1,frame_000017.PNG,3,frame_000017.PNG,,3
frame_000018.PNG,1,frame_000018.PNG,3,frame_000018.PNG,,3
frame_000019.PNG,1,frame_000019.PNG,3,frame_000019.PNG,,1
frame_000020.PNG,1,frame_000020.PNG,3,frame_000020.PNG,,1
frame_000021.PNG,1,frame_000021.PNG,3,frame_000021.PNG,,3
frame_000022.PNG,1,frame_000022.PNG,3,frame_000022.PNG,,3
frame_000023.PNG,1,frame_000023.PNG,3,frame_000023.PNG,,3
frame_000024.PNG,1,frame_000024.PNG,3,frame_000024.PNG,,3
frame_000025.PNG,1,frame_000025.PNG,3,frame_000025.PNG,,1
frame_000026.PNG,1,frame_000026.PNG,3,frame_000026.PNG,,3
frame_000027.PNG,1,frame_000027.PNG,3,frame_000027.PNG,,3
frame_000028.PNG,1,frame_000028.PNG,3,frame_000028.PNG,,3
frame_000029.PNG,1,frame_000029.PNG,3,frame_000029.PNG,,1
frame_000030.PNG,1,frame_000030.PNG,3,frame_000030.PNG,,1
frame_000031.PNG,1,frame_000031.PNG,3,frame_000031.PNG,,3
frame_000032.PNG,1,frame_000032.PNG,3,frame_000032.PNG,,3
frame_000033.PNG,1,frame_000033.PNG,3,frame_000033.PNG,,3
frame_000034.PNG,1,frame_000034.PNG,3,frame_000034.PNG,,3
frame_000035.PNG,1,frame_000035.PNG,3,frame_000035.PNG,,1
frame_000036.PNG,1,frame_000036.PNG,3,frame_000036.PNG,,3
frame_000037.PNG,1,frame_000037.PNG,3,frame_000037.PNG,,1
frame_000038.PNG,1,frame_000038.PNG,3,frame_000038.PNG,,3
frame_000039.PNG,1,frame_000039.PNG,4,frame_000039.PNG,,3
frame_000040.PNG,1,frame_000040.PNG,4,frame_000040.PNG,,3
