,label_data_team,img_url_data_team,label_psy_team,img_url_psy_team,,pred
frame_000000.PNG,positive-active,frame_000000.PNG,positive-active,frame_000000.PNG,,3
frame_000001.PNG,positive-active,frame_000001.PNG,positive-active,frame_000001.PNG,,3
frame_000002.PNG,positive-active,frame_000002.PNG,positive-active,frame_000002.PNG,,3
frame_000003.PNG,positive-active,frame_000003.PNG,positive-active,frame_000003.PNG,,3
frame_000004.PNG,positive-active,frame_000004.PNG,positive-active,frame_000004.PNG,,3
frame_000005.PNG,positive-active,frame_000005.PNG,positive-deactive,frame_000005.PNG,,3
frame_000006.PNG,positive-active,frame_000006.PNG,positive-deactive,frame_000006.PNG,,3
frame_000007.PNG,positive-deactive,frame_000007.PNG,positive-deactive,frame_000007.PNG,,3
frame_000008.PNG,positive-deactive,frame_000008.PNG,positive-deactive,frame_000008.PNG,,3
frame_000009.PNG,positive-deactive,frame_000009.PNG,negative-deactive,frame_000009.PNG,,3
frame_000010.PNG,positive-deactive,frame_000010.PNG,negative-deactive,frame_000010.PNG,,3
frame_000011.PNG,positive-deactive,frame_000011.PNG,negative-deactive,frame_000011.PNG,,3
frame_000012.PNG,positive-deactive,frame_000012.PNG,negative-deactive,frame_000012.PNG,,3
frame_000013.PNG,positive-deactive,frame_000013.PNG,negative-deactive,frame_000013.PNG,,3
frame_000014.PNG,positive-deactive,frame_000014.PNG,negative-deactive,frame_000014.PNG,,3
frame_000015.PNG,positive-deactive,frame_000015.PNG,negative-deactive,frame_000015.PNG,,3
frame_000016.PNG,positive-deactive,frame_000016.PNG,negative-deactive,frame_000016.PNG,,3
frame_000017.PNG,positive-deactive,frame_000017.PNG,negative-deactive,frame_000017.PNG,,3
frame_000018.PNG,positive-deactive,frame_000018.PNG,negative-deactive,frame_000018.PNG,,3
frame_000019.PNG,positive-deactive,frame_000019.PNG,negative-deactive,frame_000019.PNG,,3
frame_000020.PNG,positive-deactive,frame_000020.PNG,negative-deactive,frame_000020.PNG,,3
frame_000021.PNG,negative-deactive,frame_000021.PNG,negative-deactive,frame_000021.PNG,,3
frame_000022.PNG,negative-deactive,frame_000022.PNG,negative-deactive,frame_000022.PNG,,3
