,label_data_team,img_url_data_team,label_psy_team,img_url_psy_team
frame_000000.PNG,2,frame_000000.PNG,2,frame_000000.PNG
frame_000001.PNG,2,frame_000001.PNG,2,frame_000001.PNG
frame_000002.PNG,2,frame_000002.PNG,2,frame_000002.PNG
frame_000003.PNG,2,frame_000003.PNG,2,frame_000003.PNG
frame_000004.PNG,2,frame_000004.PNG,2,frame_000004.PNG
frame_000005.PNG,2,frame_000005.PNG,2,frame_000005.PNG
frame_000006.PNG,2,frame_000006.PNG,2,frame_000006.PNG
frame_000007.PNG,2,frame_000007.PNG,2,frame_000007.PNG
frame_000008.PNG,2,frame_000008.PNG,2,frame_000008.PNG
frame_000009.PNG,2,frame_000009.PNG,2,frame_000009.PNG
frame_000010.PNG,2,frame_000010.PNG,2,frame_000010.PNG
frame_000011.PNG,2,frame_000011.PNG,2,frame_000011.PNG
frame_000012.PNG,2,frame_000012.PNG,2,frame_000012.PNG
frame_000013.PNG,2,frame_000013.PNG,2,frame_000013.PNG
frame_000014.PNG,2,frame_000014.PNG,2,frame_000014.PNG
frame_000015.PNG,2,frame_000015.PNG,2,frame_000015.PNG
frame_000016.PNG,2,frame_000016.PNG,2,frame_000016.PNG
frame_000017.PNG,2,frame_000017.PNG,2,frame_000017.PNG
frame_000018.PNG,2,frame_000018.PNG,2,frame_000018.PNG
frame_000019.PNG,2,frame_000019.PNG,2,frame_000019.PNG
frame_000020.PNG,2,frame_000020.PNG,relax,frame_000020.PNG
frame_000021.PNG,2,frame_000021.PNG,relax,frame_000021.PNG
frame_000022.PNG,2,frame_000022.PNG,relax,frame_000022.PNG
frame_000023.PNG,2,frame_000023.PNG,relax,frame_000023.PNG
frame_000024.PNG,2,frame_000024.PNG,relax,frame_000024.PNG
frame_000025.PNG,2,frame_000025.PNG,relax,frame_000025.PNG
frame_000026.PNG,happy,frame_000026.PNG,relax,frame_000026.PNG
frame_000027.PNG,happy,frame_000027.PNG,relax,frame_000027.PNG
frame_000028.PNG,happy,frame_000028.PNG,relax,frame_000028.PNG
frame_000029.PNG,happy,frame_000029.PNG,relax,frame_000029.PNG
frame_000030.PNG,happy,frame_000030.PNG,relax,frame_000030.PNG
frame_000031.PNG,happy,frame_000031.PNG,relax,frame_000031.PNG
frame_000032.PNG,happy,frame_000032.PNG,relax,frame_000032.PNG
frame_000033.PNG,happy,frame_000033.PNG,relax,frame_000033.PNG
frame_000034.PNG,happy,frame_000034.PNG,relax,frame_000034.PNG
frame_000035.PNG,happy,frame_000035.PNG,relax,frame_000035.PNG
frame_000036.PNG,happy,frame_000036.PNG,relax,frame_000036.PNG
frame_000037.PNG,happy,frame_000037.PNG,relax,frame_000037.PNG
frame_000038.PNG,happy,frame_000038.PNG,relax,frame_000038.PNG
frame_000047.PNG,2,frame_000047.PNG,2,frame_000047.PNG
frame_000048.PNG,2,frame_000048.PNG,2,frame_000048.PNG
frame_000049.PNG,2,frame_000049.PNG,2,frame_000049.PNG
frame_000050.PNG,2,frame_000050.PNG,2,frame_000050.PNG
frame_000051.PNG,2,frame_000051.PNG,2,frame_000051.PNG
frame_000052.PNG,2,frame_000052.PNG,2,frame_000052.PNG
frame_000053.PNG,2,frame_000053.PNG,2,frame_000053.PNG
frame_000054.PNG,2,frame_000054.PNG,2,frame_000054.PNG
frame_000055.PNG,2,frame_000055.PNG,2,frame_000055.PNG
frame_000056.PNG,2,frame_000056.PNG,2,frame_000056.PNG
frame_000057.PNG,2,frame_000057.PNG,2,frame_000057.PNG
frame_000058.PNG,2,frame_000058.PNG,2,frame_000058.PNG
frame_000059.PNG,2,frame_000059.PNG,2,frame_000059.PNG
frame_000060.PNG,2,frame_000060.PNG,2,frame_000060.PNG
frame_000061.PNG,2,frame_000061.PNG,2,frame_000061.PNG
frame_000062.PNG,2,frame_000062.PNG,2,frame_000062.PNG
frame_000063.PNG,2,frame_000063.PNG,2,frame_000063.PNG
frame_000064.PNG,2,frame_000064.PNG,2,frame_000064.PNG
frame_000065.PNG,2,frame_000065.PNG,2,frame_000065.PNG
frame_000066.PNG,2,frame_000066.PNG,2,frame_000066.PNG
frame_000067.PNG,2,frame_000067.PNG,2,frame_000067.PNG
frame_000068.PNG,2,frame_000068.PNG,2,frame_000068.PNG
frame_000069.PNG,2,frame_000069.PNG,2,frame_000069.PNG
frame_000070.PNG,2,frame_000070.PNG,2,frame_000070.PNG
frame_000071.PNG,2,frame_000071.PNG,2,frame_000071.PNG
frame_000072.PNG,2,frame_000072.PNG,2,frame_000072.PNG
frame_000073.PNG,2,frame_000073.PNG,2,frame_000073.PNG
frame_000074.PNG,2,frame_000074.PNG,2,frame_000074.PNG
