,data_team,psy_team
frame_000000.PNG,2,2
frame_000001.PNG,2,2
frame_000002.PNG,2,2
frame_000003.PNG,2,2
frame_000004.PNG,0,2
frame_000005.PNG,0,2
frame_000006.PNG,0,2
frame_000007.PNG,0,2
frame_000008.PNG,0,2
frame_000009.PNG,0,2
frame_000010.PNG,0,2
frame_000011.PNG,0,2
frame_000012.PNG,0,2
frame_000013.PNG,0,2
frame_000014.PNG,0,2
frame_000015.PNG,0,2
frame_000016.PNG,0,2
frame_000017.PNG,0,2
frame_000018.PNG,2,2
frame_000019.PNG,2,2
frame_000020.PNG,2,2
frame_000021.PNG,2,2
frame_000022.PNG,2,2
frame_000023.PNG,2,2
frame_000024.PNG,2,2
frame_000025.PNG,2,2
frame_000026.PNG,2,2
frame_000027.PNG,2,2
frame_000028.PNG,1,1
frame_000029.PNG,1,1
frame_000030.PNG,1,1
frame_000031.PNG,1,1
frame_000032.PNG,1,1
frame_000033.PNG,1,1
frame_000034.PNG,1,1
frame_000035.PNG,1,1
frame_000036.PNG,1,1
frame_000037.PNG,1,1
frame_000038.PNG,1,1
frame_000039.PNG,1,1
frame_000040.PNG,1,1
frame_000041.PNG,1,1
frame_000042.PNG,1,1
frame_000043.PNG,1,1
frame_000044.PNG,1,1
frame_000045.PNG,1,1
frame_000046.PNG,1,1
frame_000047.PNG,1,1
frame_000048.PNG,1,1
frame_000049.PNG,1,1
frame_000050.PNG,1,1
frame_000051.PNG,1,1
frame_000052.PNG,1,1
frame_000053.PNG,1,1
frame_000054.PNG,1,1
frame_000055.PNG,1,1
frame_000056.PNG,1,1
frame_000057.PNG,1,1
frame_000058.PNG,1,1
frame_000059.PNG,1,1
frame_000060.PNG,1,1
frame_000061.PNG,1,1
frame_000062.PNG,1,1
frame_000063.PNG,1,1
frame_000064.PNG,1,1
frame_000065.PNG,1,1
frame_000066.PNG,1,1
frame_000067.PNG,1,1
frame_000068.PNG,1,1
frame_000069.PNG,1,1
frame_000070.PNG,1,1
frame_000071.PNG,1,1
frame_000072.PNG,1,1
frame_000073.PNG,1,1
frame_000074.PNG,1,1
frame_000075.PNG,1,1
frame_000076.PNG,1,1
frame_000077.PNG,1,1
frame_000078.PNG,1,1
frame_000079.PNG,1,1
frame_000080.PNG,1,1
frame_000081.PNG,1,1
frame_000082.PNG,1,1
frame_000083.PNG,1,1
frame_000084.PNG,1,1
frame_000085.PNG,1,1
frame_000086.PNG,1,1
frame_000125.PNG,1,1
frame_000126.PNG,1,1
frame_000127.PNG,1,1
frame_000128.PNG,1,1
frame_000129.PNG,1,1
frame_000130.PNG,1,1
frame_000131.PNG,1,1
frame_000132.PNG,1,1
frame_000133.PNG,1,1
frame_000134.PNG,1,1
frame_000135.PNG,1,1
frame_000136.PNG,1,1
frame_000137.PNG,1,1
frame_000138.PNG,1,1
frame_000139.PNG,1,1
frame_000140.PNG,1,1
frame_000141.PNG,1,1
frame_000142.PNG,1,1
frame_000143.PNG,1,1
frame_000144.PNG,1,1
frame_000145.PNG,1,1
frame_000146.PNG,1,1
frame_000147.PNG,1,1
frame_000148.PNG,1,1
frame_000149.PNG,1,1
frame_000150.PNG,1,1
frame_000151.PNG,1,1
frame_000152.PNG,1,1
frame_000153.PNG,1,1
frame_000154.PNG,1,1
frame_000155.PNG,1,1
frame_000156.PNG,1,1
frame_000157.PNG,1,1
frame_000158.PNG,1,1
frame_000159.PNG,1,1
frame_000160.PNG,1,1
frame_000161.PNG,1,1
