,label_data_team,img_url_data_team,label_psy_team,img_url_psy_team,pred
frame_000297.PNG,4,frame_000297.PNG,2,frame_000297.PNG,3
frame_000304.PNG,3,frame_000304.PNG,4,frame_000304.PNG,3
frame_000305.PNG,3,frame_000305.PNG,4,frame_000305.PNG,3
frame_000306.PNG,3,frame_000306.PNG,4,frame_000306.PNG,3
frame_000307.PNG,3,frame_000307.PNG,4,frame_000307.PNG,3
frame_000308.PNG,3,frame_000308.PNG,4,frame_000308.PNG,3
frame_000309.PNG,3,frame_000309.PNG,4,frame_000309.PNG,3
frame_000310.PNG,3,frame_000310.PNG,4,frame_000310.PNG,3
frame_000311.PNG,3,frame_000311.PNG,4,frame_000311.PNG,3
frame_000312.PNG,3,frame_000312.PNG,4,frame_000312.PNG,3
frame_000313.PNG,3,frame_000313.PNG,4,frame_000313.PNG,3
frame_000314.PNG,3,frame_000314.PNG,4,frame_000314.PNG,3
frame_000315.PNG,3,frame_000315.PNG,4,frame_000315.PNG,3
frame_000316.PNG,3,frame_000316.PNG,4,frame_000316.PNG,3
frame_000317.PNG,3,frame_000317.PNG,4,frame_000317.PNG,3
frame_000318.PNG,3,frame_000318.PNG,4,frame_000318.PNG,1
frame_000319.PNG,3,frame_000319.PNG,4,frame_000319.PNG,3
frame_000320.PNG,3,frame_000320.PNG,4,frame_000320.PNG,3
frame_000321.PNG,3,frame_000321.PNG,4,frame_000321.PNG,3
frame_000322.PNG,3,frame_000322.PNG,4,frame_000322.PNG,3
frame_000323.PNG,3,frame_000323.PNG,4,frame_000323.PNG,3
frame_000324.PNG,3,frame_000324.PNG,4,frame_000324.PNG,3
frame_000325.PNG,3,frame_000325.PNG,4,frame_000325.PNG,3
frame_000326.PNG,3,frame_000326.PNG,4,frame_000326.PNG,3
frame_000327.PNG,3,frame_000327.PNG,4,frame_000327.PNG,1
frame_000328.PNG,3,frame_000328.PNG,4,frame_000328.PNG,1
frame_000329.PNG,3,frame_000329.PNG,4,frame_000329.PNG,3
frame_000330.PNG,4,frame_000330.PNG,4,frame_000330.PNG,3
frame_000331.PNG,4,frame_000331.PNG,2,frame_000331.PNG,3
frame_000347.PNG,1,frame_000347.PNG,1,frame_000347.PNG,3
frame_000348.PNG,1,frame_000348.PNG,1,frame_000348.PNG,1
frame_000349.PNG,1,frame_000349.PNG,1,frame_000349.PNG,1
frame_000350.PNG,1,frame_000350.PNG,1,frame_000350.PNG,1
frame_000351.PNG,1,frame_000351.PNG,1,frame_000351.PNG,3
frame_000352.PNG,1,frame_000352.PNG,1,frame_000352.PNG,3
frame_000353.PNG,1,frame_000353.PNG,1,frame_000353.PNG,3
frame_000354.PNG,1,frame_000354.PNG,1,frame_000354.PNG,3
frame_000355.PNG,1,frame_000355.PNG,1,frame_000355.PNG,3
frame_000356.PNG,3,frame_000356.PNG,2,frame_000356.PNG,3
frame_000357.PNG,3,frame_000357.PNG,2,frame_000357.PNG,3
frame_000358.PNG,3,frame_000358.PNG,2,frame_000358.PNG,3
frame_000359.PNG,3,frame_000359.PNG,2,frame_000359.PNG,3
frame_000360.PNG,1,frame_000360.PNG,2,frame_000360.PNG,3
frame_000361.PNG,1,frame_000361.PNG,2,frame_000361.PNG,3
frame_000362.PNG,1,frame_000362.PNG,2,frame_000362.PNG,3
frame_000363.PNG,3,frame_000363.PNG,2,frame_000363.PNG,3
frame_000364.PNG,3,frame_000364.PNG,2,frame_000364.PNG,3
frame_000365.PNG,3,frame_000365.PNG,2,frame_000365.PNG,3
frame_000366.PNG,3,frame_000366.PNG,2,frame_000366.PNG,3
frame_000367.PNG,3,frame_000367.PNG,2,frame_000367.PNG,3
frame_000368.PNG,3,frame_000368.PNG,2,frame_000368.PNG,2
frame_000369.PNG,3,frame_000369.PNG,2,frame_000369.PNG,2
frame_000370.PNG,3,frame_000370.PNG,2,frame_000370.PNG,3
frame_000371.PNG,1,frame_000371.PNG,4,frame_000371.PNG,3
frame_000372.PNG,1,frame_000372.PNG,4,frame_000372.PNG,3
frame_000373.PNG,1,frame_000373.PNG,4,frame_000373.PNG,3
frame_000374.PNG,1,frame_000374.PNG,4,frame_000374.PNG,3
frame_000375.PNG,1,frame_000375.PNG,4,frame_000375.PNG,3
frame_000376.PNG,1,frame_000376.PNG,4,frame_000376.PNG,3
frame_000377.PNG,1,frame_000377.PNG,4,frame_000377.PNG,3
frame_000378.PNG,3,frame_000378.PNG,4,frame_000378.PNG,3
frame_000379.PNG,3,frame_000379.PNG,4,frame_000379.PNG,3
frame_000380.PNG,3,frame_000380.PNG,4,frame_000380.PNG,3
frame_000381.PNG,3,frame_000381.PNG,4,frame_000381.PNG,3
frame_000382.PNG,3,frame_000382.PNG,4,frame_000382.PNG,3
frame_000383.PNG,3,frame_000383.PNG,4,frame_000383.PNG,2
frame_000384.PNG,3,frame_000384.PNG,4,frame_000384.PNG,3
frame_000385.PNG,3,frame_000385.PNG,4,frame_000385.PNG,2
frame_000386.PNG,3,frame_000386.PNG,4,frame_000386.PNG,3
frame_000387.PNG,3,frame_000387.PNG,4,frame_000387.PNG,2
frame_000388.PNG,3,frame_000388.PNG,4,frame_000388.PNG,3
frame_000389.PNG,3,frame_000389.PNG,4,frame_000389.PNG,3
frame_000390.PNG,3,frame_000390.PNG,4,frame_000390.PNG,3
frame_000391.PNG,3,frame_000391.PNG,4,frame_000391.PNG,3
frame_000392.PNG,3,frame_000392.PNG,4,frame_000392.PNG,2
frame_000393.PNG,3,frame_000393.PNG,4,frame_000393.PNG,2
frame_000394.PNG,3,frame_000394.PNG,4,frame_000394.PNG,2
frame_000395.PNG,3,frame_000395.PNG,4,frame_000395.PNG,3
frame_000396.PNG,3,frame_000396.PNG,4,frame_000396.PNG,3
frame_000397.PNG,3,frame_000397.PNG,4,frame_000397.PNG,3
frame_000398.PNG,3,frame_000398.PNG,4,frame_000398.PNG,2
frame_000399.PNG,3,frame_000399.PNG,4,frame_000399.PNG,3
frame_000407.PNG,3,frame_000407.PNG,4,frame_000407.PNG,3
frame_000412.PNG,3,frame_000412.PNG,4,frame_000412.PNG,3
frame_000413.PNG,3,frame_000413.PNG,2,frame_000413.PNG,3
frame_000414.PNG,3,frame_000414.PNG,2,frame_000414.PNG,3
frame_000415.PNG,3,frame_000415.PNG,2,frame_000415.PNG,3
frame_000416.PNG,3,frame_000416.PNG,2,frame_000416.PNG,3
frame_000417.PNG,3,frame_000417.PNG,2,frame_000417.PNG,3
frame_000418.PNG,3,frame_000418.PNG,2,frame_000418.PNG,3
frame_000419.PNG,3,frame_000419.PNG,2,frame_000419.PNG,3
frame_000420.PNG,1,frame_000420.PNG,1,frame_000420.PNG,3
frame_000421.PNG,1,frame_000421.PNG,1,frame_000421.PNG,3
frame_000422.PNG,1,frame_000422.PNG,1,frame_000422.PNG,3
frame_000423.PNG,1,frame_000423.PNG,1,frame_000423.PNG,3
frame_000424.PNG,1,frame_000424.PNG,1,frame_000424.PNG,3
frame_000425.PNG,1,frame_000425.PNG,1,frame_000425.PNG,3
frame_000426.PNG,1,frame_000426.PNG,1,frame_000426.PNG,3
frame_000427.PNG,1,frame_000427.PNG,1,frame_000427.PNG,3
frame_000428.PNG,1,frame_000428.PNG,1,frame_000428.PNG,3
frame_000429.PNG,1,frame_000429.PNG,1,frame_000429.PNG,3
frame_000430.PNG,1,frame_000430.PNG,1,frame_000430.PNG,3
