video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face9_1,0.14,0.15,neutral,14,15,419,449
face9_1,0.25,0.31,neutral,25,31,749,929
face9_1,0.56,0.57,happy,56,57,1678,1708
face9_1,0.58,1.06,relax,58,66,1738,1978
face9_1,1.07,1.12,neutral,67,72,2007,2157
face9_1,1.03,1.32,neutral,63,92,1888,2757
face9_1,1.33,1.39,happy,93,99,2787,2967
face9_1,1.04,1.43,neutral,64,103,1918,3086
face9_1,2.04,2.15,neutral,124,135,3716,4045
face9_1,2.16,2.49,happy,136,169,4075,5064
face9_1,2.05,2.59,neutral,125,179,3746,5364
face9_1,3,3.03,happy,180,183,5394,5484
face9_1,3.04,3.15,neutral,184,195,5514,5844
face9_1,3.16,3.19,happy,196,199,5874,5964
face9_1,3.24,3.37,neutral,204,217,6113,6503
face9_1,3.38,3.51,relax,218,231,6533,6923
face9_1,3.52,4.26,neutral,232,266,6953,7972
face9_1,4.27,4.03,happy,267,243,8001,7282
face9_1,4.31,4.34,relax,271,274,8121,8211
face9_1,4.41,4.53,neutral,281,293,8421,8781
face9_1,4.58,5.05,neutral,298,305,8931,9140
face9_1,5.06,5.13,relax,306,313,9170,9380
face9_1,5.14,5.17,neutral,314,317,9410,9500
face9_1,5.18,5.26,relax,318,326,9530,9770
face9_1,5.27,5.28,neutral,327,328,9800,9830
face9_1,5.29,5.42,relax,329,342,9860,10249
face9_1,5.43,5.46,neutral,343,346,10279,10369
face9_1,5.47,6,relax,347,360,10399,10789
face9_1,6.03,6.13,happy,363,373,10879,11178
