video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face10_01,0,0.04,sad,0,4,0,100
face10_01,0.05,0.09,sad,5,9,125,225
face10_01,0.01,0.15,sad,1,15,25,375
face10_01,0.27,0.33,neutral,27,33,675,825
face10_01,0.38,0.41,stress,38,41,950,1025
face10_01,0.57,0.58,relax,57,58,1425,1450
face10_01,0.59,1.01,happy,59,61,1475,1525
face10_01,1.02,1.07,neutral,62,67,1550,1675
face10_01,1.08,1.14,neutral,68,74,1700,1850
face10_01,1.15,1.16,neutral,75,76,1875,1900
face10_01,1.17,1.25,neutral,77,85,1925,2125
face10_01,1.26,1.32,neutral,86,92,2150,2300
face10_01,1.33,1.35,neutral,93,95,2325,2375
face10_01,2.01,2.15,angry,121,135,3025,3375
face10_01,2.25,2.31,stress,145,151,3625,3775
face10_01,2.36,2.41,stress,156,161,3900,4025
face10_01,3.01,3.07,neutral,181,187,4525,4675
face10_01,3.08,3.11,neutral,188,191,4700,4775
face10_01,3.25,3.36,stress,205,216,5125,5400
face10_01,3.37,3.42,stress,217,222,5425,5550
face10_01,3.46,3.57,stress,226,237,5650,5925
face10_01,3.55,3.58,stress,235,238,5875,5950
face10_01,3.58,3.59,relax,238,239,5950,5975
face10_01,4.13,4.14,neutral,253,254,6325,6350
face10_01,4.36,4.39,neutral,276,279,6900,6975
face10_01,4.04,4.43,neutral,244,283,6100,7075
face10_01,4.49,4.53,angry,289,293,7225,7325
face10_01,4.55,4.56,neutral,295,296,7375,7400
face10_01,4.57,5,neutral,297,300,7425,7500
face10_01,5,5.01,relax,300,301,7500,7525
face10_01,5.02,5.11,neutral,302,311,7550,7775
face10_01,5.16,5.18,neutral,316,318,7900,7950
face10_01,5.19,5.21,sad,319,321,7975,8025
face10_01,5.25,5.26,happy,325,326,8125,8150
face10_01,6.13,6.14,relax,373,374,9325,9350
face10_01,6.02,6.23,relax,362,383,9050,9575
face10_01,6.24,6.28,relax,384,388,9600,9700
face10_01,6.29,6.31,happy,389,391,9725,9775
face10_01,6.32,6.35,neutral,392,395,9800,9875
face10_01,6.39,6.41,relax,399,401,9975,10025
face10_01,6.41,6.46,relax,401,406,10025,10150
face10_01,6.47,6.48,relax,407,408,10175,10200
face10_01,6.49,6.51,relax,409,411,10225,10275
face10_01,6.51,6.53,neutral,411,413,10275,10325
face10_01,7.03,7.04,stress,423,424,10575,10600
face10_01,7.05,7.07,neutral,425,427,10625,10675
face10_01,7.08,7.15,angry,428,435,10700,10875
face10_01,7.16,7.19,angry,436,439,10900,10975
face10_01,7.32,7.37,neutral,452,457,11300,11425
face10_01,7.52,8.04,neutral,472,484,11800,12100
face10_01,8.09,8.13,stress,489,493,12225,12325
face10_01,8.25,8.26,stress,505,506,12625,12650
face10_01,8.41,8.43,stress,521,523,13025,13075
face10_01,8.44,8.45,stress,524,525,13100,13125
face10_01,8.46,8.49,happy,526,529,13150,13225
face10_01,8.05,8.52,relax,485,532,12125,13300
face10_01,9.13,9.16,relax,553,556,13825,13900
face10_01,9.17,9.18,sad,557,558,13925,13950
face10_01,9.19,9.22,happy,559,562,13975,14050
face10_01,9.38,9.41,angry,578,581,14450,14525
face10_01,10.08,10.11,stress,608,611,15200,15275
face10_01,10.26,10.33,stress,626,633,15650,15825
face10_01,10.43,11.45,happy,643,705,16075,17625
face10_01,10.46,11.51,happy,646,711,16150,17775
face10_01,10.52,10.57,happy,652,657,16300,16425
face10_01,10.58,11.04,happy,658,664,16450,16600
face10_01,11.05,11.12,happy,665,672,16625,16800
face10_01,11.13,11.21,happy,673,681,16825,17025
face10_01,11.26,11.31,happy,686,691,17150,17275
face10_01,11.32,11.34,happy,692,694,17300,17350
face10_01,11.35,11.37,happy,695,697,17375,17425
face10_01,11.38,11.41,sad,698,701,17450,17525
face10_01,11.42,12.05,sad,702,725,17550,18125
face10_01,12.11,12.13,neutral,731,733,18275,18325
face10_01,12.28,12.32,happy,748,752,18700,18800
face10_01,12.33,12.39,neutral,753,759,18825,18975
face10_01,12.45,12.46,happy,765,766,19125,19150
face10_01,12.54,13.04,angry,774,784,19350,19600
face10_01,13.08,13.11,stress,788,791,19700,19775
face10_01,13.16,13.22,stress,796,802,19900,20050
face10_01,13.28,13.32,stress,808,812,20200,20300
face10_01,13.36,13.41,stress,816,821,20400,20525
face10_01,14,14.11,stress,840,851,21000,21275
face10_01,14.03,14.05,stress,843,845,21075,21125
face10_01,14.12,14.16,relax,852,856,21300,21400
face10_01,14.17,14.21,happy,857,861,21425,21525
face10_01,14.22,14.38,sad,862,878,21550,21950
face10_01,14.39,14.48,sad,879,888,21975,22200
face10_01,14.49,14.51,happy,889,891,22225,22275
face10_01,14.52,14.53,happy,892,893,22300,22325
face10_01,17.55,18.02,neutral,1075,1082,26875,27050
