,data_team,psy_team
frame_000008.PNG,0,0
frame_000009.PNG,0,0
frame_000010.PNG,0,0
frame_000011.PNG,0,0
frame_000012.PNG,0,0
frame_000013.PNG,0,0
frame_000014.PNG,0,0
frame_000015.PNG,0,0
frame_000016.PNG,0,0
frame_000017.PNG,0,0
frame_000018.PNG,0,0
frame_000019.PNG,0,0
frame_000020.PNG,0,0
frame_000021.PNG,0,0
frame_000022.PNG,0,0
frame_000023.PNG,0,0
frame_000024.PNG,0,0
frame_000025.PNG,0,0
frame_000026.PNG,0,0
frame_000027.PNG,4,0
frame_000028.PNG,2,0
frame_000029.PNG,2,0
frame_000030.PNG,2,0
frame_000031.PNG,2,0
frame_000045.PNG,2,2
frame_000046.PNG,2,2
frame_000047.PNG,2,2
frame_000048.PNG,2,2
frame_000049.PNG,2,2
frame_000050.PNG,2,2
frame_000051.PNG,2,2
frame_000052.PNG,2,2
frame_000053.PNG,2,2
frame_000054.PNG,2,2
frame_000055.PNG,2,2
frame_000056.PNG,2,2
frame_000057.PNG,2,2
frame_000058.PNG,2,2
frame_000059.PNG,2,2
frame_000060.PNG,2,2
frame_000061.PNG,2,2
frame_000062.PNG,2,2
frame_000063.PNG,2,2
frame_000064.PNG,2,2
frame_000065.PNG,2,2
frame_000066.PNG,2,2
frame_000067.PNG,2,2
frame_000068.PNG,2,2
frame_000069.PNG,2,2
frame_000070.PNG,2,2
frame_000071.PNG,2,2
frame_000072.PNG,2,2
frame_000073.PNG,2,2
frame_000074.PNG,2,2
frame_000075.PNG,2,2
frame_000076.PNG,2,2
frame_000077.PNG,2,2
frame_000078.PNG,2,2
frame_000079.PNG,2,2
frame_000088.PNG,2,2
frame_000089.PNG,2,2
frame_000090.PNG,2,2
frame_000091.PNG,2,2
frame_000092.PNG,2,2
frame_000093.PNG,2,2
frame_000094.PNG,2,2
frame_000095.PNG,2,2
frame_000096.PNG,2,2
frame_000097.PNG,2,2
frame_000098.PNG,2,2
frame_000099.PNG,2,2
frame_000100.PNG,2,2
frame_000101.PNG,2,2
frame_000102.PNG,2,2
frame_000103.PNG,2,2
frame_000104.PNG,2,2
frame_000105.PNG,2,2
frame_000106.PNG,2,2
frame_000107.PNG,2,2
frame_000108.PNG,2,2
frame_000109.PNG,2,2
frame_000110.PNG,2,2
frame_000111.PNG,2,2
frame_000112.PNG,2,2
frame_000113.PNG,2,2
frame_000114.PNG,2,2
frame_000115.PNG,2,2
frame_000116.PNG,2,2
frame_000117.PNG,2,2
frame_000118.PNG,2,2
