video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face6_01,0.41,0.42,relax,41,42,1025,1050
face6_01,0.43,0.44,happy,43,44,1075,1100
face6_01,0.45,0.46,happy,45,46,1125,1150
face6_01,0.47,0.49,neutral,47,49,1175,1225
face6_01,0.05,0.51,happy,5,51,125,1275
face6_01,0.52,0.53,happy,52,53,1300,1325
face6_01,0.54,0.55,happy,54,55,1350,1375
face6_01,0.56,0.57,happy,56,57,1400,1425
face6_01,0.57,1.01,happy,57,61,1425,1525
face6_01,1.06,1.07,happy,66,67,1650,1675
face6_01,1.08,1.11,relax,68,71,1700,1775
face6_01,1.11,1.12,neutral,71,72,1775,1800
face6_01,1.13,1.14,angry,73,74,1825,1850
face6_01,1.15,1.19,neutral,75,79,1875,1975
face6_01,1.02,1.39,neutral,62,99,1550,2475
face6_01,1.04,1.45,neutral,64,105,1600,2625
face6_01,1.46,1.49,happy,106,109,2650,2725
face6_01,1.52,1.53,happy,112,113,2800,2825
face6_01,1.54,2.02,neutral,114,122,2850,3050
face6_01,2.01,2.02,neutral,121,122,3025,3050
face6_01,2.03,2.04,neutral,123,124,3075,3100
face6_01,2.05,2.07,happy,125,127,3125,3175
face6_01,2.08,2.18,angry,128,138,3200,3450
face6_01,2.18,2.19,neutral,138,139,3450,3475
face6_01,2.21,2.23,neutral,141,143,3525,3575
face6_01,2.24,2.25,happy,144,145,3600,3625
face6_01,2.28,2.31,happy,148,151,3700,3775
face6_01,2.31,2.34,neutral,151,154,3775,3850
face6_01,2.35,2.42,angry,155,162,3875,4050
face6_01,2.43,2.51,neutral,163,171,4075,4275
face6_01,2.51,2.53,angry,171,173,4275,4325
face6_01,2.54,3.05,neutral,174,185,4350,4625
face6_01,3.06,3.08,angry,186,188,4650,4700
face6_01,3.09,3.15,neutral,189,195,4725,4875
face6_01,3.16,3.19,relax,196,199,4900,4975
face6_01,3.02,3.24,angry,182,204,4550,5100
face6_01,3.25,3.26,neutral,205,206,5125,5150
face6_01,3.27,3.28,happy,207,208,5175,5200
face6_01,3.31,3.38,relax,211,218,5275,5450
face6_01,3.39,3.43,sad,219,223,5475,5575
face6_01,3.44,3.46,happy,224,226,5600,5650
face6_01,3.47,3.48,relax,227,228,5675,5700
face6_01,3.49,3.51,happy,229,231,5725,5775
face6_01,3.51,3.52,neutral,231,232,5775,5800
face6_01,3.53,4.04,relax,233,244,5825,6100
face6_01,4.05,4.11,neutral,245,251,6125,6275
face6_01,4.11,4.13,relax,251,253,6275,6325
face6_01,4.14,4.16,relax,254,256,6350,6400
