Time,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0.22 - 0.24,0.22,0.24,neutral,22,24,527,575
0.25 - 0.31,0.25,0.31,neutral,25,31,599,743
0.32 - 0.40,0.32,0.41,happy,32,41,767,983
0.47 - 1.11,0.47,1.11,neutral,47,71,1126,1702
1.12 - 1.17,1.12,1.17,neutral,72,77,1726,1846
1.18 - 1.20,1.18,1.21,angry,78,81,1870,1942
1.28 - 1.30,1.28,1.31,neutral,88,91,2109,2181
1.37 - 1.39,1.37,1.39,happy,97,99,2325,2373
1.40 - 1.42,1.4,1.42,happy,64,102,1534,2445
1.43-1.45,1.43,1.45,angry,103,105,2469,2517
1.46-1.50,1.46,1.51,neutral,106,111,2541,2661
1.51-1.59,1.51,1.59,neutral,111,119,2661,2853
2.00-2.09,2,2.09,happy,120,129,2877,3092
2.10-2.12,2.1,2.12,neutral,121,132,2901,3164
2.13 - 2.15,2.13,2.15,angry,133,135,3188,3236
2.16-2.20,2.16,2.21,angry,136,141,3260,3380
2.21-2.23,2.21,2.23,neutral,141,143,3380,3428
2.24 - 2.29,2.24,2.29,happy,144,149,3452,3572
2.30 - 2.32,2.3,2.32,happy,123,152,2949,3644
2.33-2.40,2.33,2.41,happy,153,161,3668,3860
2.41-2.43,2.41,2.43,neutral,161,163,3860,3908
2.44-2.58,2.44,2.58,happy,164,178,3932,4267
2.59-3.01,2.59,3.01,happy,179,181,4291,4339
3.02-3.12,3.02,3.12,happy,182,192,4363,4603
3.13-3.15,3.13,3.15,neutral,193,195,4627,4675
3.16-3.17,3.16,3.17,happy,196,197,4699,4723
3.18-3.19,3.18,3.19,neutral,198,199,4747,4771
3.20 - 3.30,3.2,3.3,happy,182,183,4363,4387
3.31-3.32,3.31,3.32,angry,211,212,5058,5082
3.37-3.40,3.37,3.41,angry,217,221,5202,5298
3.41-3.46,3.41,3.46,relax,221,226,5298,5418
3.47 - 3.53,3.47,3.53,happy,227,233,5442,5586
3.54 - 4.05,3.54,4.05,happy,234,245,5610,5874
4.06-4.08,4.06,4.08,neutral,246,248,5898,5946
4.09-4.11,4.09,4.11,neutral,249,251,5970,6017
4.12-4.13,4.12,4.13,relax,252,253,6041,6065
4.14-4.16,4.14,4.16,relax,254,256,6089,6137
4.17-4.21,4.17,4.21,neutral,257,261,6161,6257
4.22-4.23,4.22,4.23,happy,262,263,6281,6305
4.29-4.34,4.29,4.34,neutral,269,274,6449,6569
4.35-4.36,4.35,4.36,happy,275,276,6593,6617
4.37-4.41,4.37,4.41,neutral,277,281,6641,6737
4.42-4.44,4.42,4.44,relax,282,284,6761,6809
4.45-4.46,4.45,4.46,angry,285,286,6833,6857
4.47-4.56,4.47,4.56,neutral,287,296,6881,7096
4.57-4.59,4.57,4.59,relax,297,299,7120,7168
5.16-5.25,5.16,5.25,neutral,316,325,7576,7792
5.26-5.27,5.26,5.27,relax,326,327,7816,7840
5.28-5.29,5.28,5.29,neutral,328,329,7864,7888
5.30-3.37,5.3,5.37,angry,303,337,7264,8079
3.38-3.41,3.38,3.41,neutral,218,221,5226,5298
5.47 - 5.49,5.47,5.49,angry,347,349,8319,8367
6.08-6.14,6.08,6.14,angry,368,374,8823,8967
6.15-6.19,6.15,6.19,angry,375,379,8991,9086
6.20-6.30,6.2,6.3,relax,362,363,8679,8703
6.38 - 6.43,6.38,6.43,happy,398,403,9542,9662
6.44-6.49,6.44,6.49,neutral,404,409,9686,9806
6.50-6.56,6.5,6.56,relax,365,416,8751,9974
6.57-6.59,6.57,6.59,neutral,417,419,9998,10045
