,video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0,face9_4,0.03,0.06,neutral,3.0,6.0,75,150
1,face9_4,0.18,0.31,neutral,18.0,31.0,450,775
2,face9_4,0.37,0.41,happy,37.0,41.0,925,1025
3,face9_4,0.41,0.42,happy,41.0,42.0,1025,1050
4,face9_4,0.43,0.5,angry,43.0,5.0,1075,125
5,face9_4,0.51,0.56,relax,51.0,56.0,1275,1400
6,face9_4,1.06,1.09,neutral,66.0,69.0,1650,1725
7,face9_4,1.26,1.28,happy,86.0,88.0,2150,2200
8,face9_4,1.29,1.31,neutral,89.0,91.0,2225,2275
9,face9_4,1.32,1.33,neutral,92.0,93.0,2300,2325
10,face9_4,1.34,1.36,neutral,94.0,96.0,2350,2400
11,face9_4,1.04,1.48,neutral,64.0,108.0,1600,2700
12,face9_4,1.51,1.52,neutral,111.0,112.0,2775,2800
13,face9_4,1.56,1.58,neutral,116.0,118.0,2900,2950
14,face9_4,1.59,2.0,happy,119.0,120.0,2975,3000
15,face9_4,2.01,2.04,relax,121.0,124.0,3025,3100
16,face9_4,2.05,2.07,relax,125.0,127.0,3125,3175
17,face9_4,2.01,2.15,neutral,121.0,135.0,3025,3375
18,face9_4,2.18,2.22,neutral,138.0,142.0,3450,3550
19,face9_4,2.03,2.35,neutral,123.0,155.0,3075,3875
20,face9_4,2.41,2.44,sad,161.0,164.0,4025,4100
21,face9_4,2.47,2.51,relax,167.0,171.0,4175,4275
22,face9_4,2.58,3.05,neutral,178.0,185.0,4450,4625
23,face9_4,3.06,3.15,neutral,186.0,195.0,4650,4875
24,face9_4,3.03,3.32,angry,183.0,212.0,4575,5300
25,face9_4,3.45,3.47,relax,225.0,227.0,5625,5675
26,face9_4,3.48,3.49,angry,228.0,229.0,5700,5725
27,face9_4,4.03,4.05,neutral,243.0,245.0,6075,6125
28,face9_4,4.08,4.09,neutral,248.0,249.0,6200,6225
29,face9_4,4.01,4.11,neutral,241.0,251.0,6025,6275
30,face9_4,4.14,4.17,neutral,254.0,257.0,6350,6425
31,face9_4,4.24,4.25,neutral,264.0,265.0,6600,6625
32,face9_4,4.26,4.27,relax,266.0,267.0,6650,6675
33,face9_4,4.28,4.31,angry,268.0,271.0,6700,6775
34,face9_4,4.34,4.35,sad,274.0,275.0,6850,6875
35,face9_4,4.36,4.41,neutral,276.0,281.0,6900,7025
36,face9_4,4.42,4.44,happy,282.0,284.0,7050,7100
37,face9_4,4.45,4.48,relax,285.0,288.0,7125,7200
38,face9_4,4.52,4.53,sad,292.0,293.0,7300,7325
39,face9_4,4.54,5.01,sad,294.0,301.0,7350,7525
40,face9_4,5.03,5.04,neutral,303.0,304.0,7575,7600
41,face9_4,5.43,5.55,neutral,343.0,355.0,8575,8875
42,face9_4,5.56,5.57,angry,356.0,357.0,8900,8925
43,face9_4,5.58,6.01,neutral,358.0,361.0,8950,9025
44,face9_4,6.05,6.12,neutral,365.0,372.0,9125,9300
45,face9_4,6.25,6.26,relax,385.0,386.0,9625,9650
46,face9_4,6.37,6.44,neutral,397.0,404.0,9925,10100
47,face9_4,6.45,6.47,relax,405.0,407.0,10125,10175
48,face9_4,6.59,7.02,happy,419.0,422.0,10475,10550
49,face9_4,7.03,7.06,neutral,423.0,426.0,10575,10650
50,face9_4,7.07,7.11,relax,427.0,431.0,10675,10775
51,face9_4,7.11,7.12,neutral,431.0,432.0,10775,10800
52,face9_4,7.16,7.18,neutral,436.0,438.0,10900,10950
53,face9_4,7.21,7.22,angry,441.0,442.0,11025,11050
54,face9_4,7.23,7.25,angry,443.0,445.0,11075,11125
55,face9_4,7.26,7.28,angry,446.0,448.0,11150,11200
56,face9_4,7.29,7.31,neutral,449.0,451.0,11225,11275
57,face9_4,7.44,7.45,neutral,464.0,465.0,11600,11625
58,face9_4,7.46,7.48,angry,466.0,468.0,11650,11700
59,face9_4,7.59,8.0,happy,479.0,480.0,11975,12000
60,face9_4,8.08,8.13,happy,488.0,493.0,12200,12325
61,face9_4,8.14,8.15,relax,494.0,495.0,12350,12375
62,face9_4,8.16,8.21,relax,496.0,501.0,12400,12525
63,face9_4,8.21,8.23,neutral,501.0,503.0,12525,12575
64,face9_4,8.24,8.27,happy,504.0,507.0,12600,12675
65,face9_4,8.29,8.31,happy,509.0,511.0,12725,12775
66,face9_4,8.31,8.32,angry,511.0,512.0,12775,12800
67,face9_4,8.33,8.35,relax,513.0,515.0,12825,12875
68,face9_4,8.57,8.59,angry,537.0,539.0,13425,13475
69,face9_4,9.0,9.04,neutral,540.0,544.0,13500,13600
70,face9_4,9.11,9.13,angry,551.0,553.0,13775,13825
71,face9_4,9.14,9.19,relax,554.0,559.0,13850,13975
72,face9_4,9.02,9.22,angry,542.0,562.0,13550,14050
73,face9_4,9.36,9.45,neutral,576.0,585.0,14400,14625
74,face9_4,9.46,9.51,angry,586.0,591.0,14650,14775
75,face9_4,9.52,10.11,neutral,592.0,611.0,14800,15275
76,face9_4,10.23,10.24,angry,623.0,624.0,15575,15600
77,face9_4,10.25,10.27,neutral,625.0,627.0,15625,15675
78,face9_4,10.28,10.29,angry,628.0,629.0,15700,15725
79,face9_4,10.03,10.36,neutral,603.0,636.0,15075,15900
80,face9_4,10.37,10.44,relax,637.0,644.0,15925,16100
