Time,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0.39 - 0.52,0.39,0.52,neutral,39,52,1950,2600
1.45 - 1.57,1.45,1.57,angry,105,117,5250,5850
1.58-2.01,1.58,2.01,angry,118,121,5900,6050
2.02-2.14,2.02,2.14,angry,122,134,6100,6700
4.07 - 4.08,4.07,4.08,happy,247,248,12350,12400
4.15 - 4.16 ,4.15,4.16,happy,255,256,12750,12800
4.17 - 4.21,4.17,4.21,happy,257,261,12850,13050
4.22 - 4.25,4.22,4.25,happy,262,265,13100,13250
4.26 - 4.34,4.26,4.34,angry,266,274,13300,13700
4.45 - 4.46,4.45,4.46,neutral,285,286,14250,14300
4.47-4.49,4.47,4.49,angry,287,289,14350,14450
4.52-5.10,4.52,5.1,angry,292,301,14600,15050
5.18 - 5.54,5.18,5.54,angry,318,354,15900,17700
