,video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0,face6_02,0.13,0.14,neutral,13.0,14.0,325,350
1,face6_02,0.14,0.18,relax,14.0,18.0,350,450
2,face6_02,0.19,0.23,happy,19.0,23.0,475,575
3,face6_02,0.24,0.25,happy,24.0,25.0,600,625
4,face6_02,0.26,0.27,relax,26.0,27.0,650,675
5,face6_02,0.27,0.29,neutral,27.0,29.0,675,725
6,face6_02,0.03,0.31,neutral,3.0,31.0,75,775
7,face6_02,0.32,0.35,relax,32.0,35.0,800,875
8,face6_02,0.36,0.41,happy,36.0,41.0,900,1025
9,face6_02,0.41,0.43,happy,41.0,43.0,1025,1075
10,face6_02,0.44,0.54,relax,44.0,54.0,1100,1350
11,face6_02,0.55,0.59,happy,55.0,59.0,1375,1475
12,face6_02,1.0,1.07,relax,60.0,67.0,1500,1675
13,face6_02,1.16,1.18,happy,76.0,78.0,1900,1950
14,face6_02,1.19,1.21,relax,79.0,81.0,1975,2025
15,face6_02,1.22,1.23,relax,82.0,83.0,2050,2075
16,face6_02,1.24,1.25,neutral,84.0,85.0,2100,2125
17,face6_02,1.26,1.27,neutral,86.0,87.0,2150,2175
18,face6_02,1.27,1.35,angry,87.0,95.0,2175,2375
19,face6_02,1.36,1.37,angry,96.0,97.0,2400,2425
20,face6_02,1.38,1.39,angry,98.0,99.0,2450,2475
21,face6_02,1.04,1.41,neutral,64.0,101.0,1600,2525
22,face6_02,1.42,1.43,happy,102.0,103.0,2550,2575
23,face6_02,1.43,1.46,neutral,103.0,106.0,2575,2650
24,face6_02,1.47,1.59,happy,107.0,119.0,2675,2975
25,face6_02,2.0,2.08,happy,120.0,128.0,3000,3200
26,face6_02,2.08,2.09,relax,128.0,129.0,3200,3225
27,face6_02,2.01,2.19,neutral,121.0,139.0,3025,3475
28,face6_02,2.02,2.25,angry,122.0,145.0,3050,3625
29,face6_02,2.26,2.34,neutral,146.0,154.0,3650,3850
30,face6_02,2.35,2.41,happy,155.0,161.0,3875,4025
31,face6_02,2.41,2.47,angry,161.0,167.0,4025,4175
32,face6_02,2.48,3.03,sad,168.0,183.0,4200,4575
33,face6_02,3.09,3.14,neutral,189.0,194.0,4725,4850
34,face6_02,3.15,3.16,neutral,195.0,196.0,4875,4900
35,face6_02,3.17,3.21,relax,197.0,201.0,4925,5025
36,face6_02,3.21,3.23,neutral,201.0,203.0,5025,5075
37,face6_02,3.24,3.29,happy,204.0,209.0,5100,5225
