,video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0,face9_3,0.18,0.24,neutral,18.0,24.0,450,600
1,face9_3,0.25,0.31,relax,25.0,31.0,625,775
2,face9_3,0.36,0.41,relax,36.0,41.0,900,1025
3,face9_3,0.41,0.49,relax,41.0,49.0,1025,1225
4,face9_3,0.05,0.52,relax,5.0,52.0,125,1300
5,face9_3,0.53,0.58,neutral,53.0,58.0,1325,1450
6,face9_3,1.06,1.16,neutral,66.0,76.0,1650,1900
7,face9_3,1.17,1.18,neutral,77.0,78.0,1925,1950
8,face9_3,1.19,1.33,neutral,79.0,93.0,1975,2325
9,face9_3,1.34,1.38,angry,94.0,98.0,2350,2450
10,face9_3,1.46,1.47,relax,106.0,107.0,2650,2675
11,face9_3,1.48,1.49,relax,108.0,109.0,2700,2725
12,face9_3,1.59,2.0,relax,119.0,120.0,2975,3000
13,face9_3,2.01,2.34,relax,121.0,154.0,3025,3850
14,face9_3,2.35,2.38,happy,155.0,158.0,3875,3950
15,face9_3,2.39,2.41,neutral,159.0,161.0,3975,4025
16,face9_3,2.42,2.44,happy,162.0,164.0,4050,4100
17,face9_3,2.56,3.06,angry,176.0,186.0,4400,4650
18,face9_3,3.07,3.08,angry,187.0,188.0,4675,4700
19,face9_3,3.09,3.13,angry,189.0,193.0,4725,4825
20,face9_3,3.14,3.15,angry,194.0,195.0,4850,4875
21,face9_3,3.17,3.19,neutral,197.0,199.0,4925,4975
22,face9_3,3.03,3.43,angry,183.0,223.0,4575,5575
23,face9_3,3.44,3.49,happy,224.0,229.0,5600,5725
24,face9_3,3.05,4.03,neutral,185.0,243.0,4625,6075
25,face9_3,4.04,4.05,relax,244.0,245.0,6100,6125
26,face9_3,4.06,4.07,happy,246.0,247.0,6150,6175
