Time,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0.36 - 0.37,0.36,0.37,neutral,36,37,900,925
0.38- 0.40,0.38,0.41,happy,38,41,950,1025
0.57 - 0.58,0.57,0.58,happy,57,58,1425,1450
0.59 - 1.03,0.59,1.03,happy,59,63,1475,1575
1.04 - 1.06,1.04,1.06,neutral,64,66,1600,1650
1.16 - 1.17,1.16,1.17,neutral,76,77,1900,1925
1.37 - 1.39,1.37,1.39,happy,97,99,2425,2475
1.50 - 1.51,1.51,1.52,angry,111,112,2775,2800
1.52 - 1.54,1.52,1.54,happy,112,114,2800,2850
1.55 - 2.00,1.55,2.01,neutral,115,121,2875,3025
2.01 - 2.02,2.01,2.02,happy,121,122,3025,3050
2.06 - 2.09,2.06,2.09,happy,126,129,3150,3225
2.12 - 2.13,2.12,2.13,happy,132,133,3300,3325
2.14 - 2.16,2.14,2.16,happy,134,136,3350,3400
