,video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0,face7_02,0.0,0.03,neutral,0.0,3.0,0,75
1,face7_02,0.54,0.58,neutral,54.0,58.0,1350,1450
2,face7_02,1.02,1.19,neutral,62.0,79.0,1550,1975
3,face7_02,1.02,1.31,relax,62.0,91.0,1550,2275
4,face7_02,1.32,1.38,neutral,92.0,98.0,2300,2450
5,face7_02,1.39,1.43,neutral,99.0,103.0,2475,2575
6,face7_02,1.44,1.48,relax,104.0,108.0,2600,2700
7,face7_02,1.49,2.44,neutral,109.0,164.0,2725,4100
8,face7_02,2.45,3.01,neutral,165.0,181.0,4125,4525
9,face7_02,3.11,3.25,relax,191.0,205.0,4775,5125
