,video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0,face7_01,0.0,0.01,happy,0.0,1.0,0,25
1,face7_01,0.11,0.15,angry,11.0,15.0,275,375
2,face7_01,0.16,0.17,neutral,16.0,17.0,400,425
3,face7_01,0.22,0.29,happy,22.0,29.0,550,725
4,face7_01,0.32,0.33,neutral,32.0,33.0,800,825
5,face7_01,0.34,0.36,neutral,34.0,36.0,850,900
6,face7_01,0.37,0.41,neutral,37.0,41.0,925,1025
7,face7_01,0.42,0.43,happy,42.0,43.0,1050,1075
8,face7_01,0.48,0.55,angry,48.0,55.0,1200,1375
9,face7_01,0.56,0.57,neutral,56.0,57.0,1400,1425
10,face7_01,0.58,1.0,neutral,58.0,60.0,1450,1500
11,face7_01,1.01,1.02,angry,61.0,62.0,1525,1550
12,face7_01,1.03,1.05,angry,63.0,65.0,1575,1625
13,face7_01,1.06,1.14,neutral,66.0,74.0,1650,1850
14,face7_01,1.15,1.16,happy,75.0,76.0,1875,1900
15,face7_01,1.17,1.18,neutral,77.0,78.0,1925,1950
16,face7_01,1.19,1.22,happy,79.0,82.0,1975,2050
17,face7_01,1.27,1.29,relax,87.0,89.0,2175,2225
18,face7_01,1.03,1.32,angry,63.0,92.0,1575,2300
19,face7_01,1.33,1.39,neutral,93.0,99.0,2325,2475
20,face7_01,1.44,1.48,angry,104.0,108.0,2600,2700
21,face7_01,1.49,1.51,angry,109.0,111.0,2725,2775
22,face7_01,1.51,1.54,happy,111.0,114.0,2775,2850
23,face7_01,1.58,2.0,happy,118.0,120.0,2950,3000
24,face7_01,2.03,2.06,happy,123.0,126.0,3075,3150
25,face7_01,2.11,2.17,angry,131.0,137.0,3275,3425
26,face7_01,2.02,2.21,happy,122.0,141.0,3050,3525
27,face7_01,2.25,2.29,relax,145.0,149.0,3625,3725
28,face7_01,2.03,2.31,happy,123.0,151.0,3075,3775
29,face7_01,2.32,2.36,angry,152.0,156.0,3800,3900
30,face7_01,2.39,2.47,neutral,159.0,167.0,3975,4175
31,face7_01,2.48,2.49,angry,168.0,169.0,4200,4225
32,face7_01,2.05,2.52,happy,125.0,172.0,3125,4300
33,face7_01,2.53,2.54,angry,173.0,174.0,4325,4350
34,face7_01,2.55,2.56,angry,175.0,176.0,4375,4400
35,face7_01,2.57,3.02,angry,177.0,182.0,4425,4550
36,face7_01,3.03,3.18,neutral,183.0,198.0,4575,4950
37,face7_01,3.21,3.23,neutral,201.0,203.0,5025,5075
38,face7_01,3.24,3.25,angry,204.0,205.0,5100,5125
39,face7_01,3.29,3.31,neutral,209.0,211.0,5225,5275
40,face7_01,3.34,3.36,neutral,214.0,216.0,5350,5400
41,face7_01,3.04,3.41,happy,184.0,221.0,4600,5525
42,face7_01,3.42,3.46,happy,222.0,226.0,5550,5650
43,face7_01,3.47,3.49,neutral,227.0,229.0,5675,5725
44,face7_01,3.05,3.53,angry,185.0,233.0,4625,5825
45,face7_01,3.54,3.55,angry,234.0,235.0,5850,5875
46,face7_01,3.56,3.59,neutral,236.0,239.0,5900,5975
47,face7_01,4.0,4.03,angry,240.0,243.0,6000,6075
48,face7_01,4.04,4.05,relax,244.0,245.0,6100,6125
49,face7_01,4.06,4.09,angry,246.0,249.0,6150,6225
50,face7_01,4.01,4.11,neutral,241.0,251.0,6025,6275
51,face7_01,4.12,4.13,neutral,252.0,253.0,6300,6325
52,face7_01,4.14,4.22,angry,254.0,262.0,6350,6550
53,face7_01,4.23,4.43,angry,263.0,283.0,6575,7075
54,face7_01,4.44,4.49,happy,284.0,289.0,7100,7225
55,face7_01,4.05,4.52,neutral,245.0,292.0,6125,7300
56,face7_01,4.53,4.58,angry,293.0,298.0,7325,7450
57,face7_01,4.59,5.01,neutral,299.0,301.0,7475,7525
58,face7_01,5.06,5.09,angry,306.0,309.0,7650,7725
59,face7_01,5.01,5.11,neutral,301.0,311.0,7525,7775
60,face7_01,5.12,5.24,angry,312.0,324.0,7800,8100
61,face7_01,5.25,5.27,relax,325.0,327.0,8125,8175
62,face7_01,5.03,5.39,relax,303.0,339.0,7575,8475
63,face7_01,5.04,5.42,neutral,304.0,342.0,7600,8550
64,face7_01,5.43,5.45,neutral,343.0,345.0,8575,8625
65,face7_01,5.46,5.53,relax,346.0,353.0,8650,8825
66,face7_01,5.56,6.02,angry,356.0,362.0,8900,9050
67,face7_01,6.03,6.06,neutral,363.0,366.0,9075,9150
68,face7_01,6.07,6.19,angry,367.0,379.0,9175,9475
69,face7_01,6.22,6.23,happy,382.0,383.0,9550,9575
70,face7_01,6.24,6.27,relax,384.0,387.0,9600,9675
71,face7_01,6.03,6.31,neutral,363.0,391.0,9075,9775
72,face7_01,6.32,6.35,angry,392.0,395.0,9800,9875
73,face7_01,6.36,6.37,angry,396.0,397.0,9900,9925
74,face7_01,6.38,6.39,neutral,398.0,399.0,9950,9975
75,face7_01,6.45,6.47,relax,405.0,407.0,10125,10175
76,face7_01,6.05,7.04,angry,365.0,424.0,9125,10600
77,face7_01,7.07,7.11,relax,427.0,431.0,10675,10775
78,face7_01,7.12,7.13,neutral,432.0,433.0,10800,10825
79,face7_01,7.14,7.16,angry,434.0,436.0,10850,10900
80,face7_01,7.17,7.21,neutral,437.0,441.0,10925,11025
81,face7_01,7.21,7.23,angry,441.0,443.0,11025,11075
82,face7_01,7.24,7.32,neutral,444.0,452.0,11100,11300
83,face7_01,7.33,7.36,happy,453.0,456.0,11325,11400
84,face7_01,7.37,7.39,angry,457.0,459.0,11425,11475
85,face7_01,7.04,7.41,neutral,424.0,461.0,10600,11525
86,face7_01,7.42,7.44,relax,462.0,464.0,11550,11600
87,face7_01,7.48,7.49,neutral,468.0,469.0,11700,11725
88,face7_01,7.05,7.51,neutral,425.0,471.0,10625,11775
89,face7_01,7.52,7.54,happy,472.0,474.0,11800,11850
90,face7_01,7.57,8.05,angry,477.0,485.0,11925,12125
91,face7_01,8.06,8.07,happy,486.0,487.0,12150,12175
92,face7_01,8.08,8.11,happy,488.0,491.0,12200,12275
93,face7_01,8.23,8.24,neutral,503.0,504.0,12575,12600
94,face7_01,8.25,8.28,happy,505.0,508.0,12625,12700
95,face7_01,8.34,8.38,happy,514.0,518.0,12850,12950
96,face7_01,8.39,8.43,angry,519.0,523.0,12975,13075
97,face7_01,8.44,8.46,neutral,524.0,526.0,13100,13150
98,face7_01,8.47,8.49,relax,527.0,529.0,13175,13225
99,face7_01,8.05,8.51,angry,485.0,531.0,12125,13275
100,face7_01,8.56,8.57,neutral,536.0,537.0,13400,13425
101,face7_01,8.58,8.59,angry,538.0,539.0,13450,13475
102,face7_01,9.0,9.03,relax,540.0,543.0,13500,13575
103,face7_01,9.04,9.05,neutral,544.0,545.0,13600,13625
104,face7_01,9.01,9.12,relax,541.0,552.0,13525,13800
105,face7_01,9.13,9.17,neutral,553.0,557.0,13825,13925
106,face7_01,9.18,9.21,happy,558.0,561.0,13950,14025
107,face7_01,9.22,9.23,angry,562.0,563.0,14050,14075
108,face7_01,9.24,9.26,neutral,564.0,566.0,14100,14150
109,face7_01,9.27,9.29,happy,567.0,569.0,14175,14225
110,face7_01,9.03,9.34,neutral,543.0,574.0,13575,14350
111,face7_01,9.35,9.36,happy,575.0,576.0,14375,14400
112,face7_01,9.37,9.38,neutral,577.0,578.0,14425,14450
113,face7_01,9.39,9.41,happy,579.0,581.0,14475,14525
114,face7_01,9.41,9.46,happy,581.0,586.0,14525,14650
115,face7_01,9.47,9.48,angry,587.0,588.0,14675,14700
116,face7_01,9.49,9.54,neutral,589.0,594.0,14725,14850
117,face7_01,9.55,9.57,happy,595.0,597.0,14875,14925
118,face7_01,9.58,9.59,angry,598.0,599.0,14950,14975
119,face7_01,10.0,10.05,neutral,600.0,605.0,15000,15125
120,face7_01,10.09,10.11,happy,609.0,611.0,15225,15275
121,face7_01,10.12,10.15,neutral,612.0,615.0,15300,15375
122,face7_01,10.16,10.19,neutral,616.0,619.0,15400,15475
123,face7_01,10.02,10.21,neutral,602.0,621.0,15050,15525
124,face7_01,10.22,10.27,neutral,622.0,627.0,15550,15675
125,face7_01,10.28,10.33,angry,628.0,633.0,15700,15825
126,face7_01,10.34,10.36,neutral,634.0,636.0,15850,15900
127,face7_01,10.37,10.41,angry,637.0,641.0,15925,16025
128,face7_01,10.41,10.43,neutral,641.0,643.0,16025,16075
129,face7_01,10.46,10.48,angry,646.0,648.0,16150,16200
130,face7_01,10.51,11.06,neutral,651.0,666.0,16275,16650
131,face7_01,11.07,11.19,neutral,667.0,679.0,16675,16975
132,face7_01,11.02,11.21,neutral,662.0,681.0,16550,17025
133,face7_01,11.22,11.27,neutral,682.0,687.0,17050,17175
134,face7_01,11.28,11.31,happy,688.0,691.0,17200,17275
135,face7_01,11.31,11.32,neutral,691.0,692.0,17275,17300
136,face7_01,11.37,11.38,happy,697.0,698.0,17425,17450
137,face7_01,11.41,11.51,neutral,701.0,711.0,17525,17775
138,face7_01,11.51,11.57,neutral,711.0,717.0,17775,17925
139,face7_01,12.02,12.05,happy,722.0,725.0,18050,18125
140,face7_01,12.14,12.22,relax,734.0,742.0,18350,18550
141,face7_01,12.23,12.26,happy,743.0,746.0,18575,18650
142,face7_01,12.27,12.31,angry,747.0,751.0,18675,18775
143,face7_01,12.31,12.32,angry,751.0,752.0,18775,18800
144,face7_01,12.33,12.36,angry,753.0,756.0,18825,18900
145,face7_01,12.04,12.41,happy,724.0,761.0,18100,19025
146,face7_01,12.42,12.46,relax,762.0,766.0,19050,19150
147,face7_01,12.47,12.48,neutral,767.0,768.0,19175,19200
148,face7_01,12.51,12.52,relax,771.0,772.0,19275,19300
149,face7_01,12.59,13.03,neutral,779.0,783.0,19475,19575
150,face7_01,13.04,13.15,angry,784.0,795.0,19600,19875
151,face7_01,13.16,13.18,angry,796.0,798.0,19900,19950
152,face7_01,13.21,13.22,happy,801.0,802.0,20025,20050
153,face7_01,13.23,13.24,happy,803.0,804.0,20075,20100
154,face7_01,13.25,13.26,happy,805.0,806.0,20125,20150
155,face7_01,13.27,13.29,happy,807.0,809.0,20175,20225
156,face7_01,13.31,13.39,neutral,811.0,819.0,20275,20475
157,face7_01,13.04,13.41,angry,784.0,821.0,19600,20525
158,face7_01,13.42,13.51,neutral,822.0,831.0,20550,20775
159,face7_01,13.51,13.53,neutral,831.0,833.0,20775,20825
160,face7_01,13.54,13.55,neutral,834.0,835.0,20850,20875
161,face7_01,13.56,14.0,neutral,836.0,840.0,20900,21000
162,face7_01,14.01,14.03,angry,841.0,843.0,21025,21075
163,face7_01,14.04,14.09,neutral,844.0,849.0,21100,21225
